database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	Blank_P_1	Blank_P_2	Blank_P_3	Blank_P_1	Blank_P_2	Blank_P_3	Blank_P_1	Blank_P_2	Blank_P_3	Blank_P_1	Blank_P_2	Blank_P_3	Blank_P_1	Blank_P_2	Blank_P_3	Blank_P_1	Blank_P_2	Blank_P_3	Blank_P_1	Blank_P_2	Blank_P_3	QCPool_Set1_P_3	QCPool_Set1_P_4	QCPool_Set2_P_3	QCPool_Set2_P_4	QCPool_Set3_P_3	QCPool_Set3_P_4	QCPool_Set4_P_3	QCPool_Set4_P_4	QCPool_Set5_P_3	QCPool_Set5_P_4	QCPool_Set1_P_3	QCPool_Set1_P_4	QCPool_Set2_P_3	QCPool_Set2_P_4	QCPool_Set3_P_3	QCPool_Set3_P_4	QCPool_Set4_P_3	QCPool_Set4_P_4	QCPool_Set1_P_3	QCPool_Set1_P_4	QCPool_Set2_P_3	QCPool_Set2_P_4	QCPool_Set3_P_3	QCPool_Set3_P_4	QCPool_Set4_P_3	QCPool_Set4_P_4	QCPool_Set1_P_3	QCPool_Set1_P_4	QCPool_Set2_P_3	QCPool_Set2_P_4	QCPool_Set3_P_3	QCPool_Set3_P_4	QCPool_Set1_P_3	QCPool_Set1_P_4	QCPool_Set2_P_3	QCPool_Set2_P_4	QCPool_Set3_P_3	QCPool_Set3_P_4	QCPool_Set1_P_3	QCPool_Set1_P_4	QCPool_Set2_P_3	QCPool_Set2_P_4	QCPool_Set3_P_3	QCPool_Set3_P_4	QCPool_Set1_P_3	QCPool_Set1_P_4	QCPool_Set2_P_3	QCPool_Set2_P_4	QCPool_Set3_P_3	QCPool_Set3_P_4	QCPool_Set4_P_3	QCPool_Set4_P_4	QCPool_Set5_P_3	QCPool_Set5_P_4	QCPool_Set6_P_3	QCPool_Set6_P_4	QCPool_Set7_P_3	QCPool_Set7_P_4	QCPool_Set8_P_3	QCPool_Set8_P_4	QCPool_Set9_P_3	QCPool_Set9_P_4	CovidNeg_P251_P_3	CovidNeg_P251_P_4	CovidNeg_P252_P_3	CovidNeg_P252_P_4	CovidNeg_P253_P_3	CovidNeg_P253_P_4	CovidNeg_P254_P_3	CovidNeg_P254_P_4	CovidNeg_P257_P_3	CovidNeg_P257_P_4	CovidNeg_P258_P_3	CovidNeg_P258_P_4	CovidNeg_P259_P_3	CovidNeg_P259_P_4	CovidNeg_P260_P_3	CovidNeg_P260_P_4	CovidNeg_P261_P_3	CovidNeg_P261_P_4	CovidNeg_P262_P_3	CovidNeg_P262_P_4	CovidNeg_P263_P_3	CovidNeg_P263_P_4	CovidNeg_P264_P_3	CovidNeg_P264_P_4	CovidNeg_P265_P_3	CovidNeg_P265_P_4	CovidNeg_P266_P_3	CovidNeg_P266_P_4	CovidNeg_P267_P_3	CovidNeg_P267_P_4	CovidNeg_P268_P_3	CovidNeg_P268_P_4	CovidNeg_P269_P_3	CovidNeg_P269_P_4	CovidNeg_P270_P_3	CovidNeg_P270_P_4	CovidNeg_P271_P_3	CovidNeg_P271_P_4	CovidNeg_P354_P_3	CovidNeg_P354_P_4	CovidNeg_P356_P_3	CovidNeg_P356_P_4	CovidNeg_P357_P_3	CovidNeg_P357_P_4	CovidNeg_P400_P_3	CovidNeg_P400_P_4	CovidNeg_P435_P_3	CovidNeg_P435_P_4	CovidNeg_P444_P_3	CovidNeg_P444_P_4	CovidNeg_P465_P_3	CovidNeg_P465_P_4	CovidNeg_P466_P_3	CovidNeg_P466_P_4	CovidNeg_P473_P_3	CovidNeg_P473_P_4	CovidNeg_P478_P_3	CovidNeg_P478_P_4	CovidNeg_P480_P_3	CovidNeg_P480_P_4	CovidNeg_P486_P_3	CovidNeg_P486_P_4	COVIDNsc_P274_P_3	COVIDNsc_P274_P_4	COVIDNsc_P275_P_3	COVIDNsc_P275_P_4	COVIDNsc_P276_P_3	COVIDNsc_P276_P_4	COVIDNsc_P277_P_3	COVIDNsc_P277_P_4	COVIDNsc_P278_P_3	COVIDNsc_P278_P_4	COVIDNsc_P280_P_3	COVIDNsc_P280_P_4	COVIDNsc_P281_P_3	COVIDNsc_P281_P_4	COVIDNsc_P282_P_3	COVIDNsc_P282_P_4	COVIDNsc_P290_P_3	COVIDNsc_P290_P_4	COVIDNsc_P291_P_3	COVIDNsc_P291_P_4	COVIDNsc_P292_P_3	COVIDNsc_P292_P_4	COVIDNsc_P293_P_3	COVIDNsc_P293_P_4	COVIDNsc_P294_P_3	COVIDNsc_P294_P_4	COVIDNsc_P397_P_3	COVIDNsc_P397_P_4	COVIDNsc_P308_P_3	COVIDNsc_P308_P_4	COVIDNsc_P309_P_3	COVIDNsc_P309_P_4	COVIDNsc_P295_P_3	COVIDNsc_P295_P_4	COVIDNsc_P296_P_3	COVIDNsc_P296_P_4	COVIDNsc_P299_P_3	COVIDNsc_P299_P_4	COVIDNsc_P300_P_3	COVIDNsc_P300_P_4	COVIDNsc_P301_P_3	COVIDNsc_P301_P_4	COVIDNsc_P302_P_3	COVIDNsc_P302_P_4	COVIDNsc_P303_P_3	COVIDNsc_P303_P_4	COVIDNsc_P304_P_3	COVIDNsc_P304_P_4	COVIDNsc_P305_P_3	COVIDNsc_P305_P_4	COVIDNsc_P418_P_3	COVIDNsc_P418_P_4	COVIDNsc_P419_P_3	COVIDNsc_P419_P_4	COVIDNsc_P421_P_3	COVIDNsc_P421_P_4	COVIDNsc_P422_P_3	COVIDNsc_P422_P_4	COVIDNsc_P423_P_3	COVIDNsc_P423_P_4	COVIDNsc_P424_P_3	COVIDNsc_P424_P_4	COVIDNsc_P425_P_3	COVIDNsc_P425_P_4	COVIDNsc_P426_P_3	COVIDNsc_P426_P_4	COVIDNsc_P430_P_3	COVIDNsc_P430_P_4	COVIDNsc_P431_P_3	COVIDNsc_P431_P_4	COVIDNsc_P432_P_3	COVIDNsc_P432_P_4	COVIDNsc_P433_P_3	COVIDNsc_P433_P_4	COVIDNsc_P434_P_3	COVIDNsc_P434_P_4	COVIDNsc_P436_P_3	COVIDNsc_P436_P_4	COVIDNsc_P437_P_3	COVIDNsc_P437_P_4	COVIDNsc_P443_P_3	COVIDNsc_P443_P_4	COVIDNsc_P476_P_3	COVIDNsc_P476_P_4	COVIDNsc_P479_P_3	COVIDNsc_P479_P_4	CovidSevere_P273_P_3	CovidSevere_P273_P_4	CovidSevere_P272_P_3	CovidSevere_P272_P_4	CovidSevere_P283_P_3	CovidSevere_P283_P_4	CovidSevere_P284_P_3	CovidSevere_P284_P_4	CovidSevere_P285_P_3	CovidSevere_P285_P_4	CovidSevere_P286_P_3	CovidSevere_P286_P_4	CovidSevere_P287_P_3	CovidSevere_P287_P_4	CovidSevere_P288_P_3	CovidSevere_P288_P_4	CovidSevere_P289_P_3	CovidSevere_P289_P_4	CovidSevere_P298_P_3	CovidSevere_P298_P_4	CovidSevere_P315_P_3	CovidSevere_P315_P_4	CovidSevere_P334_P_3	CovidSevere_P334_P_4	CovidSevere_P336_P_3	CovidSevere_P336_P_4	CovidSevere_P343_P_3	CovidSevere_P343_P_4	CovidSevere_P344_P_3	CovidSevere_P344_P_4	CovidSevere_P345_P_3	CovidSevere_P345_P_4	CovidSevere_P318_P_3	CovidSevere_P318_P_4	CovidSevere_P360_P_3	CovidSevere_P360_P_4	CovidSevere_P361_P_3	CovidSevere_P361_P_4	CovidSevere_P362_P_3	CovidSevere_P362_P_4	CovidSevere_P380_P_3	CovidSevere_P380_P_4	CovidSevere_P381_P_3	CovidSevere_P381_P_4	CovidSevere_P382_P_3	CovidSevere_P382_P_4	CovidSevere_P401_P_3	CovidSevere_P401_P_4	CovidSevere_P411_P_3	CovidSevere_P411_P_4	CovidSevere_P413_P_3	CovidSevere_P413_P_4	CovidSevere_P297_P_3	CovidSevere_P297_P_4	CovidSevere_P420_P_3	CovidSevere_P420_P_4	CovidSevere_P428_P_3	CovidSevere_P428_P_4	CovidSevere_P429_P_3	CovidSevere_P429_P_4	CovidSevere_P442_P_3	CovidSevere_P442_P_4	CovidSevere_P472_P_3	CovidSevere_P472_P_4	GroupArea_Sample	GroupCV_Sample_percentage
CHEBI:89605	C20H35NO2	CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)NCCO	InChI=1S/C20H35NO2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-20(23)21-18-19-22/h3-4,6-7,9-10,22H,2,5,8,11-19H2,1H3,(H,21,23)/b4-3-,7-6-,10-9-	alpha-Linolenoylethanolamide					16.415												43986412.1348347			8383543.79816362			8154831.81109607			7697938.96190028			7580356.77564695			12861376.9131722			20354259.4341132																																																																																																																																																																																																																																																																																						
CHEBI:36219	C12H22O11	OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O	InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2/t3-,4-,5+,6+,7-,8-,9-,10-,11+,12+/m1/s1	alpha-Lactose					1.239																																																			7895220.46393121	7824549.93707385	5832868.01173815	5840681.11842962	5210976.19655614		5933430.70024295										45602816.8996253	62560027.9401083	79401200.3354492	122526014.861589	67425019.5867327		60889723.1752234		41168854.5057745		55150026.3463954	53149119.7537121		49818506.9584251		38135314.3344238	55296913.4574187	60942206.838143	85155777.6512803	66033998.0275604	32922096.3762949	33518341.2012908	51284380.442493	28887128.0588796	35972059.2790814	33393351.967824	37121638.6558536	37798756.9173719																																																																																																																																																																																																																					41168854.5057745	62.0065255480879
CHEBI:36219	C12H22O11	OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O	InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2/t3-,4-,5+,6+,7-,8-,9-,10-,11+,12+/m1/s1	alpha-Lactose					1.477												38497939.350553	58864466.1970834	43349922.765587	48340753.1357883	61904763.2767144	47577377.9425405	20227838.0302541	16113283.5869653	19038304.7186223																																																						23544599.0804861	16408800.1964891	32699102.4097737											10459721.0448209	10824370.7396471		17302110.0300896	14636586.6033354		28172295.945243																																																																																																																																																																																																																						16855455.1132894	42.1138749182682
CHEBI:32315	C17H17ClN6O3	CN1CCN(CC1)C(=O)OC1N(C(=O)c2nccnc12)c1ccc(Cl)cn1	InChI=1S/C17H17ClN6O3/c1-22-6-8-23(9-7-22)17(26)27-16-14-13(19-4-5-20-14)15(25)24(16)12-3-2-11(18)10-21-12/h2-5,10,16H,6-9H2,1H3	zopiclone					16.064												91525172.2994254																		486092526.310044																																																																																																																																																																																																																																																																																						
CHEBI:28282	C14H19NO4	CC(C)C[C@H](NC(=O)OCc1ccccc1)C(O)=O	InChI=1S/C14H19NO4/c1-10(2)8-12(13(16)17)15-14(18)19-9-11-6-4-3-5-7-11/h3-7,10,12H,8-9H2,1-2H3,(H,15,18)(H,16,17)/t12-/m0/s1	Z-Leu-OH					13.286																														15048837.3396033																																																																																																																																																																																																																																																																																						
CHEBI:10106	C18H22O5	C[C@H]1CCCC(=O)CCC\C=C\c2cc(O)cc(O)c2C(=O)O1	InChI=1S/C18H22O5/c1-12-6-5-9-14(19)8-4-2-3-7-13-10-15(20)11-16(21)17(13)18(22)23-12/h3,7,10-12,20-21H,2,4-6,8-9H2,1H3/b7-3+/t12-/m0/s1	Zearalenone					15.548																	891244962.413618														475099829.610601		2176714041.65136	1398317774.21857	1160173541.35824	2009620283.05662	2021039954.27207	2078669329.30815	1865667703.7508	1970684629.72815	856574061.703748	1514302408.6904	1576763106.09556	1009681689.56854	1467687876.74663	971136379.32352	1076606849.30611	1103944927.45205	968320041.823874	2182558207.05918	441319785.241783	411304895.685653	666282304.351812	361699457.267207	351104287.07919	751509523.813016	475255052.46658	492960398.099381	594768756.232823	510996308.91116	340393329.931493	351703881.032676	338833679.647576	262117827.767361	346360879.671477	361482532.388193	361964286.374828	380052382.186989	425031921.976178	365572737.707664	397200788.938604	945136433.504149	750194602.201479	480840518.259364	295726373.243381	312350465.987706	337178019.261545	339652051.602143	298868412.220205	207641629.520382	556695353.5332	336491941.279921	479680180.879561	367986612.189715	402982344.884794	401350083.988386	396090208.594852	681666670.557132	417609930.639893	1088538274.08006	436167823.338897	432480369.925527	432615063.994853	437582184.999678	2112492067.76094	1203607448.2734	1908674686.30311	2051800288.75771	2199623170.20863	1486754098.95036	2304621513.07192	2217300792.09966	1893626043.8045	1251891920.60807	2097056003.1223	2165291227.59847	1291562106.43719	2018213325.53003	1885405707.24279	1263982802.1044	1563822402.50325	1495817230.68269	940625739.80585	1008818793.77136	1561301581.38535	1420552168.82747	1634734970.58155	1033527356.83898	1840557043.55495	1003417769.02905	974133959.853703	1666474707.87902	1087826924.55803	1113198397.19044	1034425720.21758	994600504.935802	1487398631.3521	1035577120.78632	1017054421.03708	1973635933.10373	1032788120.18603	1151027947.83878	302337595.260685	300590196.631758	319177864.44719	313325322.819537	513148638.258361	580432602.018173	457676738.666036	518539027.965114	384935909.641436	332829640.014524	414163430.852863	383103900.301482	366904379.560117	608943290.926747	332326382.767728	370257828.294501	651761813.423028	386089164.201257	345874301.830525	297930832.983105	311990942.524514	275687194.273134	328185451.851785	324601373.215135	1901612612.07409	1749144540.15063	1806694994.66074	1252409455.65212	1776242830.05149	1594149450.31686	2018807805.46253	2301156324.47063	1808464339.66645	1240801590.33477	943825027.756639	968652759.364256	1103642095.08948	1126162172.09449	1111114425.61893	1017768745.19444	392049557.966243	426636213.358994	327544015.900996	406565558.506865	377241106.063451	413502199.794564	807567545.991322	460622846.765485	412059843.682086	354560298.920765	667906595.157246	712165557.16693	866603234.670942	551568396.407232	538642401.784773	534435527.437332	432815173.473952	419138668.129006	432144411.699158	439979176.369579	448936120.676352	440032652.240721	473566742.297956	472504825.859991	469567011.885161	334622241.48088	306645526.773254	364240399.905377	323992672.141645	292400222.295631	356744793.483589	365873071.911437	342246250.963158	370335018.058996	285307161.196389	456507400.158926	397036560.669014	390816196.506648	321384795.246486	360714303.254892	286242641.432916	291342063.47768	356272687.075151	414686773.044758	668112076.89372	436584698.936734	386682683.493021	403541870.704398	459610838.647491	457102032.145647	420280923.00821	555181584.233037	382216458.418438	413955205.221798	342851174.258679	475096948.188842	445545115.903463	412252325.393157	465718388.168244	373224736.48855	506233011.944086	469962556.284181	399486589.395583	472156340.567715	525818550.738525	551018942.943274	562676042.33628	512839236.947464	258603425.324731	370748914.266943	1495330521.52001	1203968578.97091	950061111.687909	990953517.340827	1103710215.35324	832673812.251958	974794256.569661	1298049878.07053	1550067747.42709	1688736954.51472	493763536.63115	515185935.397433	495647090.804149	535877350.782679	446660695.485378	468052952.199135	725519139.082287	426387808.378459	413056519.060023	427270180.977127	615924496.029867	890650791.718913	658575490.227815	375420028.2564	500010215.043514	379628554.573167	402109513.850047	375333222.905897	308355218.887536	329218263.927641	287943286.745442	295777880.88266	420489599.085658	437778594.227391	342768398.114753	392547259.203862	359009165.459091	349069576.946515	235862659.304181	279215176.213176	439350108.056163	437960415.209669	706591338.369879	457969017.738547	517866555.282355	585831553.180848	457017271.119709	456791926.378956	492302337.195059	425187798.672539	484878372.641143	831828034.865875	381656400.713703	448260362.893171	429368150.26667	442694242.265199	766593363.413519	516450318.184207	562568566.375909	502802899.994807	571893860.607412	453263701.726269	573280195.613521	542771431.330381	474331845.243399	71.723828970175
CHEBI:10106	C18H22O5	C[C@H]1CCCC(=O)CCC\C=C\c2cc(O)cc(O)c2C(=O)O1	InChI=1S/C18H22O5/c1-12-6-5-9-14(19)8-4-2-3-7-13-10-15(20)11-16(21)17(13)18(22)23-12/h3,7,10-12,20-21H,2,4-6,8-9H2,1H3/b7-3+/t12-/m0/s1	Zearalenone					15.326															1972924166.05964	1940358520.49799	1994557740.21798	581548966.010852	295207436.631995	656620840.354792	618358144.601074	438499153.474262		475491844.633759	348917518.50241		482532814.279277	325097694.852729	384917643.613537	1982295948.26966	605131055.488157										1932896843.85743	1952564928.57254	2019717430.85057	1997632436.80853	1905149387.34627	1735951378.45152	2175612558.56708	2052190105.71013	1762513414.39886	1803026292.75129	669901901.429027	670064186.45686	668289252.996682	591698368.334202	600053069.057006	666948295.929882	886696134.70501	741482998.234925	772957337.573981	753599317.626909	523249469.726248	617214540.544263	604033327.218317	534314388.247243	612833035.908875	494577872.276185	596516106.027374	546880934.423542	523987462.253307	526517204.007234	618309841.656817	715774362.849347	733208834.025842	733641006.608219	487862345.437901	396392327.600521	435613776.414107	400351432.866465	388140130.707027	389583774.859555	472454250.656042	376921654.335085	407568713.814147	445455826.082818	501667938.646513	595107192.238573	515781670.832168	626011071.789756	519732753.934641	543662441.757484	629261060.035155	685292467.860976	610448583.838041	584770895.538304																	2019507994.79068	2131120734.87731	1920350542.67288	2248918144.0112	1922481917.41175	2008478890.47632		2106260791.21054		2032662711.5907													596132307.61717	693167342.225857	600704596.016135	619782947.654014	923545873.731256	830210965.682151	801415339.330178	834771856.716481	484081536.012304	512541992.030822	573699083.655476	486573860.367017	459636442.35967	473599955.547338	480892529.088278	461805531.132254	458796562.668404	584239515.537238	408095728.077299	423896099.819347	454006561.835328	484044796.599767	442558764.784931	454860356.276535														1702160886.97522			762682358.991859	673803088.856414	693917581.453453	730406935.235757	651759762.341419	680067660.975304	794753100.68487	770911064.32182	591689729.746541	622159171.441579	1093067152.99076	1170083704.94427	945465749.778091	806765971.758421	851600828.944167	850270851.550344	687859624.152039	732581703.534373	801731612.292073	682595112.660371	660969098.156127	677895548.31613	727148244.172657	759277699.652671	654674184.462449	680250665.028369	485956535.158165	630501050.059798	469935944.532885	493255501.705307	513820847.189978	515247681.71001	497936266.466338	501539531.103083	481757837.260462	486757080.100471	453841682.241382	467993071.134836	413666868.126652	442884480.221566	415533222.839399	446505341.998321	471313424.504218	511709437.19586	428450953.58192	425597316.108356	508482454.775983	539645167.483306	518348747.6279	556547219.205838	541809871.924753	585500073.74586	485055778.326684	538813452.548229	513309592.530247	574015140.944374	594557326.853329	547857335.25561	584754474.899475	545763509.834499	699441927.775366	664385703.583597	587853124.041242	663495237.608134	737628448.967942	695796598.112829	767914268.512737	765203790.906566	467410469.995371	477066790.321389											676934783.087504	728949207.849076	809859735.731733	732514146.430504	695177939.349862	855194117.944081	823443953.25403	695288771.234476	644398608.799314	680126676.825866	916173179.881111	909219548.29374	558824545.978128	572047535.897969	863959226.002846	756636390.808413	646206058.176234	671219857.348872	591159063.905745	600699585.199478	524446703.429858	550072881.622107	736678759.189637	747118295.789199	616880197.640305	582341795.271727	625875533.239589	543628076.131367	517241912.903432	510274893.836012	605458239.723694	740291510.380213	669509697.259631	672308090.031091	926909752.408077	965657809.216857	614291943.365056	768282838.595755	739814988.952172	771014249.819587	809852092.85591	659071651.401925	674077574.994326	811456653.300063	436677564.011016	512756410.010299	586808345.642123	593465894.842223	721451304.568369	745736701.124232	693458607.535496	751514487.648501	735038742.288036	905283985.709495	626011071.789756	55.2471834635427
CHEBI:10106	C18H22O5	C[C@H]1CCCC(=O)CCC\C=C\c2cc(O)cc(O)c2C(=O)O1	InChI=1S/C18H22O5/c1-12-6-5-9-14(19)8-4-2-3-7-13-10-15(20)11-16(21)17(13)18(22)23-12/h3,7,10-12,20-21H,2,4-6,8-9H2,1H3/b7-3+/t12-/m0/s1	Zearalenone					15.435													2175982687.21835	1275455611.49696						430098894.192175			516092545.785579			361948537.350538																				236949896.019247			288864220.551653																																																																																																																																																																																																																																																					168443979.721677													236949896.019247	26.0999420074997
CHEBI:10106	C18H22O5	C[C@H]1CCCC(=O)CCC\C=C\c2cc(O)cc(O)c2C(=O)O1	InChI=1S/C18H22O5/c1-12-6-5-9-14(19)8-4-2-3-7-13-10-15(20)11-16(21)17(13)18(22)23-12/h3,7,10-12,20-21H,2,4-6,8-9H2,1H3/b7-3+/t12-/m0/s1	Zearalenone					15.191																		1001320083.93019	628076516.441323		1123959140.46855	645577709.32615	876656761.329718	773086540.013482	497865970.065844	480543183.551907	818678502.551497	466636639.467306	494698399.092992																																																																																																																																																																																																																																																																																							
CHEBI:10106	C18H22O5	C[C@H]1CCCC(=O)CCC\C=C\c2cc(O)cc(O)c2C(=O)O1	InChI=1S/C18H22O5/c1-12-6-5-9-14(19)8-4-2-3-7-13-10-15(20)11-16(21)17(13)18(22)23-12/h3,7,10-12,20-21H,2,4-6,8-9H2,1H3/b7-3+/t12-/m0/s1	Zearalenone					15.64																1059535120.80377																																																																																																																																																																																																																																																																																																				
