database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	20P02830216_CSHC18_NEG	20P02830217_CSHC18_NEG	20P02830215_CSHC18_NEG	20P02830224_CSHC18_NEG	20P02830213_CSHC18_NEG	20P02830210_CSHC18_NEG	20P02830211_CSHC18_NEG	20P02830218_CSHC18_NEG	20P02830219_CSHC18_NEG	20P02830133_CSHC18_NEG	20P02830132_CSHC18_NEG	20P02830131_CSHC18_NEG	20P02830130_CSHC18_NEG	20P02830136_CSHC18_NEG	20P02830135_CSHC18_NEG	20P02830134_CSHC18_NEG	20P02830139_CSHC18_NEG	20P02830138_CSHC18_NEG	20P02830024_CSHC18_NEG	20P02830320_CSHC18_NEG	20P02830026_CSHC18_NEG	20P02830027_CSHC18_NEG	20P02830021_CSHC18_NEG	20P02830023_CSHC18_NEG	20P02830028_CSHC18_NEG	20P02830286_CSHC18_NEG	20P02830096_CSHC18_NEG	20P02830227_CSHC18_NEG	20P02830120_CSHC18_NEG	20P02830121_CSHC18_NEG	20P02830122_CSHC18_NEG	20P02830123_CSHC18_NEG	20P02830124_CSHC18_NEG	20P02830264_CSHC18_NEG	20P02830126_CSHC18_NEG	20P02830127_CSHC18_NEG	20P02830128_CSHC18_NEG	20P02830129_CSHC18_NEG	20P02830266_CSHC18_NEG	20P02830059_CSHC18_NEG	20P02830058_CSHC18_NEG	20P02830057_CSHC18_NEG	20P02830051_CSHC18_NEG	20P02830053_CSHC18_NEG	20P02830052_CSHC18_NEG	20P02830295_CSHC18_NEG	20P02830293_CSHC18_NEG	20P02830288_CSHC18_NEG	20P02830317_CSHC18_NEG	20P02830199_CSHC18_NEG	20P02830198_CSHC18_NEG	20P02830195_CSHC18_NEG	20P02830194_CSHC18_NEG	20P02830196_CSHC18_NEG	20P02830315_CSHC18_NEG	20P02830190_CSHC18_NEG	20P02830193_CSHC18_NEG	20P02830192_CSHC18_NEG	20P02830115_CSHC18_NEG	20P02830114_CSHC18_NEG	20P02830116_CSHC18_NEG	20P02830110_CSHC18_NEG	20P02830274_CSHC18_NEG	20P02830176_CSHC18_NEG	20P02830082_CSHC18_NEG	20P02830205_CSHC18_NEG	20P02830080_CSHC18_NEG	20P02830084_CSHC18_NEG	20P02830310_CSHC18_NEG	20P02830306_CSHC18_NEG	20P02830307_CSHC18_NEG	20P02830298_CSHC18_NEG	20P02830299_CSHC18_NEG	20P02830303_CSHC18_NEG	20P02830305_CSHC18_NEG	20P02830240_CSHC18_NEG	20P02830100_CSHC18_NEG	20P02830105_CSHC18_NEG	20P02830038_CSHC18_NEG	20P02830032_CSHC18_NEG	20P02830031_CSHC18_NEG	20P02830030_CSHC18_NEG	20P02830037_CSHC18_NEG	20P02830269_CSHC18_NEG	20P02830328_CSHC18_NEG	20P02830060_CSHC18_NEG	20P02830063_CSHC18_NEG	20P02830064_CSHC18_NEG	20P02830179_CSHC18_NEG	20P02830178_CSHC18_NEG	20P02830069_CSHC18_NEG	20P02830175_CSHC18_NEG	20P02830174_CSHC18_NEG	20P02830173_CSHC18_NEG	20P02830172_CSHC18_NEG	20P02830171_CSHC18_NEG	20P02830170_CSHC18_NEG	20P02830203_CSHC18_NEG	20P02830183_CSHC18_NEG	20P02830180_CSHC18_NEG	20P02830002_CSHC18_NEG	20P02830006_CSHC18_NEG	20P02830188_CSHC18_NEG	20P02830189_CSHC18_NEG	20P02830202_CSHC18_NEG	20P02830271_CSHC18_NEG	20P02830185_CSHC18_NEG	20P02830229_CSHC18_NEG	20P02830228_CSHC18_NEG	20P02830164_CSHC18_NEG	20P02830226_CSHC18_NEG	20P02830092_CSHC18_NEG	20P02830095_CSHC18_NEG	20P02830162_CSHC18_NEG	20P02830163_CSHC18_NEG	20P02830220_CSHC18_NEG	20P02830017_CSHC18_NEG	20P02830016_CSHC18_NEG	20P02830018_CSHC18_NEG	20P02830089_CSHC18_NEG	20P02830151_CSHC18_NEG	20P02830153_CSHC18_NEG	20P02830152_CSHC18_NEG	20P02830154_CSHC18_NEG	20P02830159_CSHC18_NEG	20P02830158_CSHC18_NEG	20P02830276_CSHC18_NEG	20P02830238_CSHC18_NEG	20P02830239_CSHC18_NEG	20P02830234_CSHC18_NEG	20P02830235_CSHC18_NEG	20P02830236_CSHC18_NEG	20P02830237_CSHC18_NEG	20P02830230_CSHC18_NEG	20P02830231_CSHC18_NEG	20P02830232_CSHC18_NEG	20P02830233_CSHC18_NEG	20P02830048_CSHC18_NEG	20P02830046_CSHC18_NEG	20P02830042_CSHC18_NEG	20P02830043_CSHC18_NEG	20P02830040_CSHC18_NEG	20P02830001_CSHC18_NEG	20P02830322_CSHC18_NEG	20P02830323_CSHC18_NEG	20P02830326_CSHC18_NEG	20P02830146_CSHC18_NEG	20P02830147_CSHC18_NEG	20P02830144_CSHC18_NEG	20P02830145_CSHC18_NEG	20P02830142_CSHC18_NEG	20P02830143_CSHC18_NEG	20P02830140_CSHC18_NEG	20P02830141_CSHC18_NEG	20P02830209_CSHC18_NEG	20P02830208_CSHC18_NEG	20P02830075_CSHC18_NEG	20P02830073_CSHC18_NEG	20P02830072_CSHC18_NEG	20P02830079_CSHC18_NEG	20P02830078_CSHC18_NEG
				LPI(20:4)					0.8												5768106.071	8073047.578	6596293.732	5047098.447	3863000.057	4970051.004	5137302.156	5541764.794	3725602.929	7803156.616	5550228.468	3508686.592	4835078.123	4978492.589	7993502.719	5528422.67	5976780.399	8125756.981	5048662.954	3149726.725	4735904.369	8719457.448	6990740.16	9158825.441	7618466.493	4314317.895	4020914.971	5960600.357	10248054.11	5997765.328	10333557.3	6767302.17	15736374.46	6011219.563	6035995.783	17008895.33	9707366.402	7126467.833	5711591.87	4370723.185	5972009.999	6669436.993	16875226.89	3368954.198	5083289.779	7710323.098	4201398.835	3746066.866	2807047.522	6874314.47	4328540.485	5469390.891	3095911.946	3014327.936	5061290.819	2994566.038	4292410.548	2831428.031	3832448.933	5402088.485	5698729.315	4755285.578	10695071.32	4884148.612	3071851.032	4179207.246	4062308.74	4637058.928	4829291.448	3416079.405	6159934.774	2461272.814	2929977.599	5173576.979	10171772.07	4203193.492	3696837.631	5110868.815	5760462.59	6761083.8	7636643.144	6179976.691	5154020.013	6163255.966	3829157.847	2295497.331	10816441.26	5923055.396	3639692.821	3264876.375	5719363.14	4819869.887	4497107.909	7029652.252	7778772.152	4340226.996	37097117.11	5097398.559	3844986.921	2747465.612	5437450.791	9701515.729	3902284.663	3210111.825	4443506.83	3894575.047	2598418.659	4479978.301	6868177.255	7592364.608	6219275.611	3651905.688	5314005.738	4021824.041	4768500.836	6235310.855	3755038.895	3742684.121	6074583.549	8293374.356	4089606.861	4608785.143	4762532.454	3256074.519	3961933.885	4787789.022	9270871.613	3399331.464	2873061.812	5633366.528	2430574.762	3542106.396	3280747.761	4985924.102	3319762.234	3356907.056	3370078.982	6185718.341	7754617.047	3428829.079	11453110.15	6860478.523	7037460.017	6512298.283	3803228.065	5703915.672	6856613.11	3420484.189	2666334.283	4373764.64	4459501.762	6536623.691	4368537.795	5672995.544	4836584.915	2943737.238	13332053.01	5175826.754	11411324.85	2096584.333	6255857.095
				LPI(18:2)					0.83												3578573.476	4623146.739	5698889.074	3259404.774	2298158.316	2441561.474	3498060.252	3903333.951	1699524.213	5158894.115	3208892.759	2098342.63	3453744.113	3315202.649	3554811.914	3800503.057	4131564.886	2975408.444	2612170.354	2490611.114	3883893.041	8468304.475	3355741.732	3987927.844	5794153.59	2279903.522	3002409.573	3872463.543	5957260.631	4610352.775	4585476.279	2637540.345	6587617.024	3116805.913	2718268.701	6868263.692	6038939.882	4442602.813	5503239.432	3486289.181	4090945.04	6153202.784	7708928.839	2242842.226	4460947.943	4849637.38	2214015.339	3615041.625	1801819.324	3247474.994	4215805.272	3782319.881	2858792.723	2174753.279	3323993.689	1877241.609	2830356.473	1829930.827	3198912.865	2466989.599	1995874.624	2446881.715	9582171.047	3454378.219	1891292.458	2532820.833	2306382.588	2480825.649	2383420.453	2006923.287	3781955.691	1260213.701	1426285.001	2693941.468	9035965.474	3197654.861	2418867.964	2623937.622	3942700.387	5661419.823	4096601.969	4694755.659	3264615.66	4416935.295	2173909.044	1527616.074	6946404.302	2242113.788	1882918.972	2267684.859	2780255.1	3369222.32	2810492.426	4192248.761	3309938.593	2682862.293	17371186.51	3283470.972	2478523.948	2109359.452	2210663.757	2995084.975	1827204.339	2253379.038	3017336.681	2670247.47	1482354.923	4095359.521	5503237.773	6395363.985	3734456.63	2329437.893	3775092.275	1685340.398	2807704.094	4157650.002	1639760.642	2355495.19	3132298.22	8015225.312	2087175.85	3103920.203	2471764.253	2305277.404	1368459.244	2711572.163	4646129.694	2065491.614	1354471.912	3432327.407	1414284.878	2185520.584	2004087.18	3363353.283	2024245.151	1947309.189	2055440.075	3720577.367	5218142.712	2483365.95	7516940.552	4045034.962	3341099.464	3154315.631	1808236.067	2645581.963	3555644.148	1407121.392	1356845.15	3249411.583	2572672.394	4170995.25	2925301.216	3640140.414	2470028.134	1997826.296	6468985.296	2744163.278	4707299.133	1196703.471	3459943.833
				LPI(20:3)					0.89												935862.5789	1518288.772	2230208.442	715688.1864	839850.5486	749832.4655	715361.7409	968854.3212	375748.098	1259597.876	1145915.485	592466.8348	1097149.61	773190.0555	1521885.464	1187059.671	1474106.311	1236958.476	1364327.675	751843.8051	1175797.107	1283136.14	1164528.633	1688634.838	1355958.867	848537.178	1015888.227	1701944.501	1929095.252	1241021.255	1559929.78	1605062.567	1083504.891	630883.8953	704471.9855	2263673.223	1349939.24	1356774.353	1310100.264	401418.9063	1120929.298	1969829.416	2091961.268	554484.6047	1761107.79	1418317.323	823611.0668	1370549.542	507182.0075	1391444.068	1619539.212	1127573.361	664534.0406	529097.8401	1174669.858	487296.6659	958995.0064	589203.3577	744634.1297	1061504.846	1009592.546	610259.8811	1843940.097	860309.0329	829241.804	832062.7364	813450.722	756398.6328	887559.8715	635908.8824	689943.4923	241968.0152	720873.3511	875713.1921	2021225.693	567104.0416	829718.4145	1129121.263	1263658.638	731518.0041	889329.636	704832.7223	1233141.915	1965134.513	922484.0888	423469.5423	1500735.865	1328821.802	655792.5374	696360.3484	493089.4216	915095.4618	1048786.459	1191384.67	1809597.918	670905.9409	4029252.818	1843055.011	694962.4835	579626.6139	468368.1839	1291320.452	551488.3264	637380.5956	1065441.146	674514.7655	166635.5668	1114986.304	1637684.334	1272035.2	1123552.942	460181.8182	1528115.014	1041256.894	712282.3505	1099378.165	1052598.682	679179.336	877061.562	1515957.419	858342.4713	1297351.993	877645.6729	677826.4495	411982.0551	976066.3895	2961812.986	739165.9264	389412.5675	983888.7264	440634.9192	426695.1327	692880.662	1075482.496	648808.3967	417000.7244	504677.9904	703307.1095	1271623.272	469864.7211	1201377.816	1784306.301	1632725.409	763042.7055	340279.8841	712126.2826	779502.2228	505596.1246	532117.6434	1016098.012	893403.5546	1432192.89	399506.7619	969250.9823	722122.007	505153.3539	732458.1628	1173110.578	1727235.656	345225.0706	1353430.505
				LPA(20:4)					0.91												11988192.64	9657600.577	10315131.16	4474707.436	4801203.79	4930563.892	4899426.436	7423596.975	7284769.649	280718.0551	411166.4671	357201.8813	414634.022	388144.0738	718456.3067	529285.0701	476801.1617	550779.5413	1517035.895	286362.7001	656572.4301	1114763.248	1173034.954	653771.1468	707112.313	193439.5364	275312.1269	4312513.248	406862.9911	960281.6245	740340.7884	327248.9545	2479763.862	419876.6071	2686468.036	520998.8123	424155.2969	857834.9891	52678.59244	440628.3876	526747.892	595959.0503	410077.6383	1159540.099	559201.7467	238218.9223	342423.6911	234935.1938	158959.7524	6416036.968	14989627.08	8026301.599	4271509.042	7614120.105	163269.0609	10767435.58	3544834.231	11587774.44	387329.3511	262587.7886	396430.5336	1269281.239	89354.95006	12374661.28	458716.7493	4352541.148	867467.584	821219.6456	328678.9245	282748.1635	188916.7055	209461.8804	218212.9083	449714.648	463549.4348	683517.0765	671483.7145	745575.1012	354318.5476	257409.8703	905514.7085	465143.2225	755012.4325	268053.2636	302334.5241	435064.0258	176261.147	334163.415	5205308.321	7751368.105	449328.4827	7994257.112	7485919.836	15595469.17	9626028.008	6645120.291	3246179.971	4375124.306	9367278.435	7002624.926	1260562.17	917545.0223	8105532.763	8000639.178	4812704.343	241331.3393	7797555.782	11516548.28	5492327.468	1509034.788	7692374.732	930091.2941	421273.2957	1663705.602	386598.6569	6176003.562	1156512.798	1140021.452	1224209.517	1574260.155	94398.75338	200337.1587	1164713.717	324825.8315	595020.147	710146.7008	51930.23657	80612.19096	443203.9342	282368.355	242197.0231	192443.3955	179880.4506	286341.0985	141671.2632	246038.0908	175853.1254	297345.5273	472140.3002	180499.2305	1164679.901	1909714.69	586539.6578	351859.3293	219891.8797	368182.5612	2058711.435	931999.4408	475330.2826	407016.3034	1522529.11	925375.1258	275665.0623	314068.1903	8110155.101	5523033.806	466596.4249	784627.2127	443349.0409	15540.85575	969441.5573
				LPI(16:0)					0.93												770134.7074	937721.6993	1021830.969	371974.0608	623270.9574	445271.3066	494675.4279	905013.5458	324798.3804	673914.2979	1037945.538	262238.6719	730656.6328	741411.5988	678188.0449	795842.2275	1573415.302	894238.231	1706152.567	533999.3427	916827.8265	2697235.82	1411371.353	1333541.722	2149056.052	607316.6464	891903.3519	1073224.303	603195.1526	1209116.156	879796.0292	311573.6532	1152362.509	259815.8048	638516.7472	1316043.638	781257.6569	667449.9847	854363.7863	624064.5164	719140.554	1111613.142	1373519.612	500733.9514	1238196.772	1282568.659	843673.6884	1176904.536	276029.8912	728829.6534	841204.1553	598945.9458	266969.2467	312876.8901	703569.0199	456710.9535	356574.737	566854.3257	699979.2129	580781.6443	826217.7532	723841.1029	1119912.415	586951.5548	891426.1305	368977.5537	405797.1454	277707.6646	797794.1017	271298.6817	623858.9566	228566.4945	689437.7706	651649.6275	644282.0316	509101.6217	600229.8257	643205.4839	1132667.555	560408.3849	713482.7809	1761375.456	832949.8467	720036.1447	400961.2671	503296.9687	902277.2462	1387772.098	391771.3824	538711.6618	881344.5549	456559.3868	670197.133	669611.2209	805986.1386	500836.9715	1446642.516	957967.3401	348289.631	714088.1125	911999.0778	1107624.17	350236.6346	716515.7656	771324.8031	497482.7479	582055.767	286482.9718	766593.62	2142125.596	1139843.4	522003.0481	1258359.271	957754.6362	558274.3372	539209.645	986707.6884	921998.1253	1090564.582	842379.936	441276.8702	468463.2163	661006.507	413726.7784	312914.6341	719584.8896	1553592.27	228993.923	280090.9436	344333.4327	318425.0571	210036.6512	249335.7692	340523.0956	248514.2841	310676.9284	346330.5909	1008567.912	902168.0219	744413.2434	630732.5533	1045094.004	1637639.823	750692.1923	376679.5036	657808.2602	578792.3251	320699.0083	520890.7663	511010.8765	451091.2455	1259583.787	398379.7038	583642.1769	323145.6929	443074.0081	1226190.038	632219.205	1154170.46	131795.1096	1290807.797
				LPA(18:2)					0.94												2857161.969	3545819.287	2989622.178	2028375.608	1709743.479	1497247.344	1701149.291	2051321.429	1742673.786	2111712.588	1942461.392	1927671.873	1824528.229	4690694.756	1809490.233	1849329.889	1683883.133	2174253.771	4480460.968	1528557.38	7912124.226	5092108.838	6041766.29	2313705.425	6136683.387	1110374.747	1870020.344	2264164.285	1566543.257	6457903.754	2585550.02	1522844.841	9627250.375	1163709.255	6218958.172	2255057.431	2039109.582	3273544.606	610159.0563	1799828.757	1971952.497	2736668.855	1058472.308	4641597.088	2221413.675	854176.0581	1093905.931	988683.7907	1410001.497	2019079.566	5268587.703	3259199.022	2936151.704	3733374.151	994470.8985	3817135.258	1967316.209	2777224.27	2093057.033	861969.0395	2368662.181	3388931.709	344127.1345	4628920.353	2645305.902	2665548.063	3945395.282	2512314.629	1581123.068	2034749.987	936964.0449	1833201.638	1039173.954	1474652.155	1926476.787	601022.9156	2746282.07	3150240.703	2113513.206	2228843.688	3870797.829	5675992.991	3984577.852	1471840.182	1717818.089	1666918.142	970316.3547	1203626.659	2136776.834	3784322.942	1678018.043	2469990.31	4155058.665	4073321.317	2754423.636	3665847.18	20622445.6	2515913.378	3778646.133	3194202.018	4876589.994	2606502.688	4007983.604	2887189.914	2390279.59	1054716.677	5399207.45	2825329.913	1878988.227	5462742.519	2263102.727	2893645.708	2833139.372	9738681.522	1925065.25	2248766.905	3111279.429	4955328.313	2871636.341	3321457.177	1020243.27	1160804.945	5473810.928	2330333.118	2555151.425	3041899.025	405161.3306	1080243.2	2023286.448	1164424.957	1190987.802	1107752.327	998072.7778	2125389.208	775819.8413	803737.1875	859368.4475	1899199.423	1865224.509	831329.3185	2947105.012	2174922.497	1577975.866	1098356.65	1382225.425	1069046.732	6183145.886	5024182.333	2533151.19	2793438.967	6005807.411	2896282.978	2556388.815	2125657.444	3726751.269	2648917.802	1738815.526	2608391.261	1831565.707	208473.4054	3814135.878
				LPI(18:1)					0.97												1421808.071	2896436.602	2224051.112	1529543.402	1092919.866	930627.432	2834795.169	1892810.577	676219.1011	2022717.337	1485506.023	928209.3694	1172640.594	1390474.79	2044367.811	1740347.022	1916622.082	1002218.387	1855112.36	1178671.391	2483457.83	4436931.23	1686327.456	2691980.19	2390579.583	1265557.325	1541664.825	2124853.5	3792140.014	2704067.442	2472124.147	1198263.879	3068919.414	1366282.409	1012619.627	3293460.483	1561405.928	1686659.493	2031285.353	1140392.634	2183229.192	2323085.198	2918005.389	1036843.45	1583783.277	2363083.003	1295923.92	2582006.515	1225411.997	1478497.304	1176866.553	1044924.976	955248.554	956751.9471	1731564.233	977519.2205	987204.8224	867353.945	1623885.689	1408267.451	1104460.714	1393657.678	3642795.159	1336529.772	1144785.376	1567778.729	1372878.875	1168068.5	1257984.041	1016821.158	1624320.396	821357.775	1025580.254	1371284.508	1992495.454	871654.4716	1407778.928	1458754.182	1813799.949	2404933.159	1845059.701	3026779.448	1990494.568	1527891.352	1089446.678	813239.2281	3134526.054	1751687.542	1074194.733	1036412.7	1357150.855	1270961.182	1228844.719	2371210.525	1430530.263	1105384.64	6439735.351	1224501.079	796204.5522	1375018.176	1739591.122	1679970.186	669704.0778	1246969.567	1136544.853	1798221.964	963148.3268	1362515.221	3732926.46	3219566.363	1674210.508	761470.772	2352352.13	1589949.344	1668038.172	1293696.788	1675618.434	1543056.18	1603259.44	2595614.953	1270320.9	1280086.303	1260858.15	1277462.66	833107.2099	1759244.163	6256316.335	872577.543	738745.5176	1037361.508	566571.0852	1181065.052	800490.4845	2095860.535	853359.629	891393.3632	1187415.182	1421512.417	3138343.781	1606578.682	3153946.667	1433420.607	2142911.033	1412100.523	982632.3032	1426252.843	1600154.501	774281.2164	622553.2383	1371426.96	1092164.51	2096243.771	983612.7519	1437039.491	984445.7111	1125892.301	2267743.047	1411415.283	2788289.957	549890.2329	1468548.444
				LdMePE(18:2)					1.04												11175721.15	15104689.06	14220580.74	14514679.29	15703440.45	10343865.16	20727224.12	8147383.27	9372078.791	12652612.99	8714272.939	6295911.714	9622357.424	13955339.75	8114628.94	9536292.095	6883248.374	9121949.592	8186887.362	9193299.041	13373188.26	4818062.734	8517083.98	8878697.007	7792224.728	8058803.58	8648808.481	12917539.13	10854152.5	11914563.22	10306772.11	11700455.2	5611334.296	12055959.21	10981354.95	19460983.66	11548909.87	10992363.96	6841561.981	8067878.284	11802622.26	7378300.453	8942683.17	16675594.71	10575807.66	2820339.125	4620434.456	3721968.382	10995531.09	10255368.1	14865163.52	11654152.25	8754181.369	15529189.23	7962977.823	9914814.419	14961146.52	8797435.778	9109076.721	10325033.81	4310702.544	11336132.84	3657235.713	11037455.19	10603753.68	5785263.469	6530178.536	8560027.482	11051247.82	13058810.92	7987396.307	7736816.273	9480646.807	11866026.98	8383453.708	11891910.4	8602275.88	10145915.2	9356577.004	12556545.91	12043292.55	12300903.88	14446913.3	9225500.845	7078350.617	12248043.71	4718922.811	9448414.81	9302265.432	10999664.05	3530720.261	7062338.328	14457266.47	15080449.43	8676808.676	10778243.91	14180451.61	9978923.742	10412272.98	7926846.328	11759492.23	3999315.393	13282832.85	10631910.37	9266701.762	7145838.701	11349910.19	12493907.41	18631269.04	5956479.549	15433142.57	11668340.72	18185862.28	6185058.853	10363461.48	9132854.144	8047178.483	6049152.531	10722523.82	4930811.805	8755809.079	9893289.434	10539691.17	12044808.77	9784914.165	10917142.78	3307184.555	10542890.68	9715518.956	5529574.838	9484194.82	8796227.33	7492392.832	21112046.84	4617224.068	5323082.99	10902615.43	2897281.457	9765240.349	775664.8221	7888047.216	10239632.47	9151550.482	4443408.56	8941570.617	7280497.438	8954563.708	11737878.64	8658919.77	5804854.814	6678520.284	12730513.33	13616122.58	11898841.58	15841601.42	14078221.71	11373186.98	9832503.77	12367970.29	8837746.433	8210306.859
				LPA(16:0)					1.08												396687.5711	633173.6643	522325.0787	94250.4828	229606.5365	231982.7136	174412.31	395106.3961	266631.6527	123839.4485	442098.3818	517681.6615	434799.9553	299218.5316	340569.1018	329144.4217	695373.6488	615414.8072	1464340.469	165440.9515	1863802.177	3482886.444	1243653.413	905318.7689	3136221.217	124860.2337	422087.4821	429443.0051	317654.4997	1774268.211	460585.6949	226729.6999	4323221.175	143335.1078	2596563.741	446779.765	363141.113	587883.402	100308.7026	279022.7017	581517.4251	1272002.614	363998.9515	872412.101	644195.2484	163201.4543	489683.4839	452897.0105	156709.4071	382997.9806	729806.7381	541457.3396	511095.1774	322028.9823	138292.6444	727002.6123	297532.4606	591887.4387	331847.0042	132182.8778	1076699.499	800056.0524	108169.087	1225327.485	734437.7066	514496.1632	1188737.178	653031.2972	213553.7255	202376.7059	174343.8697	306185.2949	80538.3489	260037.2433	371658.0096	33048.71758	547117.3764	604963.1589	818936.342	373659.6073	748432.0971	710532.5743	1214346.108	276930.6108	386069.0477	343680.6345	53023.63916	243288.4383	540355.5846	662961.0848	549473.9033	558951.042	575045.0244	985587.0988	582827.7201	1079823.139	3367981.722	381092.8275	746525.2208	703169.2032	1226477.211	2221431.168	626929.6674	605102.2364	594291.7293	241853.3199	869183.3261	297890.6267	161650.8375	1237612.281	307262.0784	589202.0159	328006.8759	5654469.906	257717.8234	443987.3563	1290126.815	1727295.049	1389650.895	996900.2995	151946.8367	111902.872	1694906.671	543885.2361	682917.8685	571924.4041	105868.2614	103605.9717	499341.1928	300801.7464	167393.0396	146118.8116	167075.7228	63356.49555	139535.5693	218631.8367	139180.9315	1206831.508	451015.2286	291342.304	776080.7055	934850.4471	484652.3159	286466.9711	164081.1492	389616.1007	3014527.705	1180046.71	955892.3876	832366.4074	1522027.288	857566.6749	366330.899	281844.3319	278809.1996	263101.3911	264279.9833	666732.0337	315030.6244	32756.36488	1335234.751
				LdMePE(16:0)					1.21												37172270.05	43319269.27	44849592.41	41007972.9	50698945.32	43256655.61	45992110.12	32665711.64	39666850.67	29716332.17	34796638.56	29309236.16	38819681.83	28327137.88	41949179.01	37422853.71	41373766.33	44962378.7	40888531.21	48087272.98	45501293.17	27783171.59	31976159.64	51673141.56	37591735.25	35666423.36	42395162.73	42083340.11	35648408.79	44928009.23	30034212.89	45046935.26	36197399.69	39392209.81	56972366	49489382.43	49023011.97	33417795.21	27874146.68	33538509.13	44478632.97	43509549.11	67512732.82	44989012.52	40084724.43	20108752.29	35092094.94	21440252.28	43908308.08	43321323.54	43230417.26	46189204.71	39223310.37	46022292.8	38739352.39	41598131.58	38120319.34	40256996.15	27458936.6	35650202.08	26787202.7	43857902.94	25856747.4	53772987.23	53784742.53	28142308	41761055.13	39852046.38	49457553.06	42858524.35	35844369.75	38187993.09	44840814.24	45213270.93	44029787.88	41346400.9	29406355.46	33336471.94	40947430.29	33915406.41	38241081.47	32653319.83	45156456.81	49901724.27	40332477.11	43210208.57	18177827.44	44647552.26	48713427.61	42340344.53	17797735.88	41906412.43	49361730.99	53061844.97	64303773.25	50116081.48	50999590.65	43194201.89	50184170.51	39344644.12	43033043.1	22863408.36	55676207.97	40480420.15	41362873.99	36152471.69	45420714.01	35137747.95	48429796.25	22711317.32	40871151.66	45246729.76	56241887.09	52387760.8	30885742.85	35696922.39	49675707.44	38452049.06	32955408.77	30209620.76	35219906.37	38503394.49	50543011.81	36180833.44	48983116.54	39429186.27	18741180.18	40010797.3	51865074.18	39338702.99	41936052.71	41502794.09	36814130.42	51609950.75	31574879.22	38484908.88	34804491.68	25412253.94	35842435.41	7675683.144	33845727.42	41694488.11	40566030.14	37237147.14	35117874.42	45845320.93	55952382	47408608.07	43764604.35	39902998.35	46574203.66	42358084.29	39906355.48	37475864.71	42382571.17	40134087.97	35368218.28	45780110.66	52290301.62	45556297.03	48643499.96
