database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	20P02820216_BEHC18_NEG	20P02820217_BEHC18_NEG	20P02820215_BEHC18_NEG	20P02820224_BEHC18_NEG	20P02820213_BEHC18_NEG	20P02820210_BEHC18_NEG	20P02820211_BEHC18_NEG	20P02820218_BEHC18_NEG	20P02820219_BEHC18_NEG	20P02820133_BEHC18_NEG	20P02820132_BEHC18_NEG	20P02820131_BEHC18_NEG	20P02820130_BEHC18_NEG	20P02820136_BEHC18_NEG	20P02820135_BEHC18_NEG	20P02820134_BEHC18_NEG	20P02820139_BEHC18_NEG	20P02820138_BEHC18_NEG	20P02820024_BEHC18_NEG	20P02820320_BEHC18_NEG	20P02820026_BEHC18_NEG	20P02820027_BEHC18_NEG	20P02820021_BEHC18_NEG	20P02820023_BEHC18_NEG	20P02820028_BEHC18_NEG	20P02820286_BEHC18_NEG	20P02820096_BEHC18_NEG	20P02820227_BEHC18_NEG	20P02820120_BEHC18_NEG	20P02820121_BEHC18_NEG	20P02820122_BEHC18_NEG	20P02820123_BEHC18_NEG	20P02820124_BEHC18_NEG	20P02820264_BEHC18_NEG	20P02820126_BEHC18_NEG	20P02820127_BEHC18_NEG	20P02820128_BEHC18_NEG	20P02820129_BEHC18_NEG	20P02820266_BEHC18_NEG	20P02820059_BEHC18_NEG	20P02820058_BEHC18_NEG	20P02820057_BEHC18_NEG	20P02820051_BEHC18_NEG	20P02820053_BEHC18_NEG	20P02820052_BEHC18_NEG	20P02820295_BEHC18_NEG	20P02820293_BEHC18_NEG	20P02820288_BEHC18_NEG	20P02820317_BEHC18_NEG	20P02820199_BEHC18_NEG	20P02820198_BEHC18_NEG	20P02820195_BEHC18_NEG	20P02820194_BEHC18_NEG	20P02820196_BEHC18_NEG	20P02820315_BEHC18_NEG	20P02820190_BEHC18_NEG	20P02820193_BEHC18_NEG	20P02820192_BEHC18_NEG	20P02820115_BEHC18_NEG	20P02820114_BEHC18_NEG	20P02820116_BEHC18_NEG	20P02820110_BEHC18_NEG	20P02820274_BEHC18_NEG	20P02820176_BEHC18_NEG	20P02820082_BEHC18_NEG	20P02820205_BEHC18_NEG	20P02820080_BEHC18_NEG	20P02820084_BEHC18_NEG	20P02820310_BEHC18_NEG	20P02820306_BEHC18_NEG	20P02820307_BEHC18_NEG	20P02820298_BEHC18_NEG	20P02820299_BEHC18_NEG	20P02820303_BEHC18_NEG	20P02820305_BEHC18_NEG	20P02820240_BEHC18_NEG	20P02820100_BEHC18_NEG	20P02820105_BEHC18_NEG	20P02820038_BEHC18_NEG	20P02820032_BEHC18_NEG	20P02820031_BEHC18_NEG	20P02820030_BEHC18_NEG	20P02820037_BEHC18_NEG	20P02820269_BEHC18_NEG	20P02820328_BEHC18_NEG	20P02820060_BEHC18_NEG	20P02820063_BEHC18_NEG	20P02820064_BEHC18_NEG	20P02820179_BEHC18_NEG	20P02820178_BEHC18_NEG	20P02820069_BEHC18_NEG	20P02820175_BEHC18_NEG	20P02820174_BEHC18_NEG	20P02820173_BEHC18_NEG	20P02820172_BEHC18_NEG	20P02820171_BEHC18_NEG	20P02820170_BEHC18_NEG	20P02820203_BEHC18_NEG	20P02820183_BEHC18_NEG	20P02820180_BEHC18_NEG	20P02820002_BEHC18_NEG	20P02820006_BEHC18_NEG	20P02820188_BEHC18_NEG	20P02820189_BEHC18_NEG	20P02820202_BEHC18_NEG	20P02820271_BEHC18_NEG	20P02820185_BEHC18_NEG	20P02820229_BEHC18_NEG	20P02820228_BEHC18_NEG	20P02820164_BEHC18_NEG	20P02820226_BEHC18_NEG	20P02820092_BEHC18_NEG	20P02820095_BEHC18_NEG	20P02820162_BEHC18_NEG	20P02820163_BEHC18_NEG	20P02820220_BEHC18_NEG	20P02820017_BEHC18_NEG	20P02820016_BEHC18_NEG	20P02820018_BEHC18_NEG	20P02820089_BEHC18_NEG	20P02820151_BEHC18_NEG	20P02820153_BEHC18_NEG	20P02820152_BEHC18_NEG	20P02820154_BEHC18_NEG	20P02820159_BEHC18_NEG	20P02820158_BEHC18_NEG	20P02820276_BEHC18_NEG	20P02820238_BEHC18_NEG	20P02820239_BEHC18_NEG	20P02820234_BEHC18_NEG	20P02820235_BEHC18_NEG	20P02820236_BEHC18_NEG	20P02820237_BEHC18_NEG	20P02820230_BEHC18_NEG	20P02820231_BEHC18_NEG	20P02820232_BEHC18_NEG	20P02820233_BEHC18_NEG	20P02820048_BEHC18_NEG	20P02820046_BEHC18_NEG	20P02820042_BEHC18_NEG	20P02820043_BEHC18_NEG	20P02820040_BEHC18_NEG	20P02820001_BEHC18_NEG	20P02820322_BEHC18_NEG	20P02820323_BEHC18_NEG	20P02820326_BEHC18_NEG	20P02820146_BEHC18_NEG	20P02820147_BEHC18_NEG	20P02820144_BEHC18_NEG	20P02820145_BEHC18_NEG	20P02820142_BEHC18_NEG	20P02820143_BEHC18_NEG	20P02820140_BEHC18_NEG	20P02820141_BEHC18_NEG	20P02820209_BEHC18_NEG	20P02820208_BEHC18_NEG	20P02820075_BEHC18_NEG	20P02820073_BEHC18_NEG	20P02820072_BEHC18_NEG	20P02820079_BEHC18_NEG	20P02820078_BEHC18_NEG
CHEBI:30769	C6H8O7	OC(=O)CC(O)(CC(O)=O)C(O)=O	InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)	Citric acid					0.64												31041408.22	62502933.57	84125456.14	43142338.55	53552291.29	35895974.11	89484610.95	86490863.54	137205052.1	167071981.9	36774185.71	173228868.6	65314519.3	95073223.22	87723841.2	76314760.08	77290136.73	69591196.25	94514647.86	370437913.7	87285943.26	95450778.7	30656588.16	55961583.03	58884216.78	395502437	22795917.67	16375803.43	99993881.78	71817460.16	129221631.5	18333338.47	66247808.18	506233596.4	96214859.63	86170798.14	71639895.49	118219539.6	458849612.4	36814713.43	37912618.5	31993310.3	73620277.28	150609717.9	134665103.4	200103188.2	450225244.6	284461745.7	424260521.5	93429835.67	84252451.68	88367876.35	71355989.83	96600098.71	440526255.3	79263442.16	47933545.69	77844168.02	122812175.7	54755062.39	225943994.6	191134537.4	228654769.7	62110308.58	39223301.59	73752136.13	104938814	50877369.27	412423919.2	433200918.5	433621583	516664578.7	455848516.4	515133595.7	580522784.3	121065358.9	42253821.62	117524830.7	113152740.4	27039493.11	87125790.56	99383534.69	57638868.99	455708672.6	471546338.5	73641353.74	31692443.23	97867563.34	79261025.41	58329293.16	21061739.73	63331382.84	64291081.67	108813935.8	77371049.21	95980471.37	412078958.6	55055998.23	63733540.29	138519149	68923950.11	97451490.06	71465386.91	91815599.05	71887877.11	408319659	95191620.84	43035215.63	52333260.07	15132559.03	48464012.75	75181582.33	44159989	97088413.91	40867119.91	147124920.8	46992226.49	80355381.38	115780969.7	93909369.07	65583040.58	30356847.98	63527673.88	36724434.99	55627104.37	67666017.8	185401793.6	402644472	298310007	395690590.3	352326965.9	340989526.4	475242625.4	280966540.1	476477110.2	359834195.9	506692107.4	26984779.71	48544218.01	27976880.71	37227686.93	62475639.74	39757821.92	289458183.6	439477012.2	387279916.1	84387705.25	54018003.15	41820725.35	36519775.68	61228076.02	32136282.39	78049719.91	56132312.75	62810878.82	81485957.56	49121097.82	45352263.6	60105869.3	105229719.6	82335295.77
CHEBI:30915	C5H6O5	OC(=O)CCC(=O)C(O)=O	InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)	Oxoglutaric acid					0.641												28590752.45	59287308.05	78496673.69	38830533.38	49991761.15	33160587.24	81083247.66	81499868.64	114232231	135871271.9	34280735.42	158806681.3	61578202.56	89750174.31	81744726.97	70666991.02	74528149.44	61171840.45	85912608.12	352522836.4	83893549.56	78615890.28	27654749.03	54321218.53	55512701.32	377126360.3	19987676.76	55857876.04	95517258.04	66775037.86	121238040.9	64954641.13	62807892.28	482177898	92584855.67	81818701.61	66606390.24	112111068.2	438215738.7	36364776.52	36113377.13	31222147.58	69126888.22	124609143	110835592.5	189705508.5	433139189.8	269917943.2	404182683.1	87884897.05	78893987.29	83873266.47	67397647.85	91369784.73	422090201	71571387.47	44006811.4	72267094.82	101430744.7	52141317.01	213890984.1	158048492.4	216695239.6	57846191.57	36370809.1	68024461.43	87247838.36	46634114.49	393360763.4	411156650.2	413523094.8	491394928.4	435460938.6	492231505.5	548435839.7	99857655.66	37180334.92	98042961.67	93100020.19	23988682.04	79675771.25	94253756.52	51422925.69	437116138.8	450701210.7	67082710.15	30000419.71	80885268.03	74379693.77	53150353.09	19614373.62	60003494.05	59332796.4	103264316	74627064.25	91103955.87	391115954.6	50659258.5	60486276.01	128563508.4	55419432.91	90421287.57	65184957.88	87331670.24	68206433.48	388508890.1	90218829.07	39836643.52	48023163.7	11356342.65	44100452.98	70727599.86	39243849.65	80020232.36	39145767.34	121362086.1	45053761.24	75400003.52	97052813.9	78879231.93	62577787.33	29202070.97	57136249.52	33644992.98	52835386.72	62725805.79	175787690.5	385162572.8	283936746.6	374158163.9	335774660	324797153.4	454092432.2	268389444.3	458127101.2	342448446.1	482997838.5	24697564.59	46677647.13	27201455.37	34806779.8	58519088.5	40861922.82	276758015	423415268.5	367356870.5	80639158.65	52773200.56	68939123.16	60849740.76	57097131.55	31091198.63	74366407.79	50938886.88	58411657.48	76816246.38	46548108.78	40796551.44	53347851.3	87479983.02	74995982.56
CHEBI:167715	C6H8O9S	C(C(C1C(=C(C(=O)O1)OS(=O)(=O)O)O)O)O	InChI=1S/C6H8O9S/c7-1-2(8)4-3(9)5(6(10)14-4)15-16(11,12)13/h2,4,7-9H,1H2,(H,11,12,13)/t2-,4+/m0/s1	L-ascorbic acid 2-sulfate					0.641												1765745.159	3765747.796	6568627.917	2669862.19	3263329.662	2903066.912	4131359.878	18077801.31	6579897.13	1493940.292	2021055.94	3232567.85	4276024.737	3487796.574	1155555.324	2326133.349	3209188.578	7559321.707	5474682.664	880823.3999	1616223.095	16016954.23	6587902.658	3238606.59	7388352.868	1660057.877	2665506.551	8449296.298	2339761.211	4117807.341	2113850.851	3738722.466	552854.7613	1594553.786	3868291.546	2141728.346	1713796.38	4388838.141	4118397.994	3193416.929	799473.432	6364727.65	3624605.819	4930412.318	1227428.731	7010029.538	3069636.839	9493042.399	1787270.876	9925610.444	3149071.953	4599547.212	1963650.447	8124429.908	1461536.245	1509979.027	8116452.94	3732215.748	6204433.636	2070567.181	3427725.741	7989566.995	4329403.42	4894398.195	1338050.985	9963508.601	2014987.654	3599868.165	1328883.063	1580318.065	641714.5485	2882065.822	4709623.698	1652460.382	365178.3418	3403928.505	915439.1775	4730271.406	1537327.771	3136242.149	3171480.488	1916787.247	3767640.659	1562642.205	2672075.326	1443887.135	10075047.05	1183628.033	2289433.376	4152662.41	3167006.632	2328230.513	2537025.772	6992598.35	7357473.671	8349390.763	4017172.728	4282948.71	2685278.883	2800809.231	2514071.676	4242091.704	2647737.721	8454202.146	3497778.591	661761.3636	4727302.383	2099735.416	3138920.984	19609037.74	5686178.62	2021162.769	7266736.131	2485983.823	2072086.086	3351308.78	7789466.73	9627089.708	3333112.781	6258418.18	4568490.676	1245158.344	1511406.655	6382282.014	1992790.925	6800034.506	7387281.552	1681326.56	1010415.852	679524.9063	186167.9532	822068.729	1532706.629	1431233.427	950828.3836	2746200.572	1267899.079	1878404.205	1540363.023	56547756.35	759633.9135	1517069.436	3919233.682	1790085.695	1844570.475	1412665.157	2799726.985	2252847.728	4133735.665	5509971.244	2322779.391	1891582.457	3302684.496	4276252.191	2382772.132	7085685.38	4155300.863	1854995.346	689440.7187	2035250.064	3768460.629
CHEBI:16995	C2H2O4	OC(=O)C(O)=O	InChI=1S/C2H2O4/c3-1(4)2(5)6/h(H,3,4)(H,5,6)	Oxalic acid					0.643												745583.5997	6064137.112	1674853.961	2945299.31	2199692.606	1180520.011	1231493.93	3014933.545	3429474.839	528444.5729	1838742.501	978931.3487	1322141.82	1008505.551	357549.3771	724045.1686	672899.2676	513345.8229	544561.438	281216.499	445733.1583	1876410.456	7564580.024	1705667.818	459226.2804	370675.1251	855975.5813	1450061.552	846687.011	609728.0371	1317560.029	438993.5862	157284.4083	275383.4439	252010.4825	299651.0006	1185630.564	481077.2149	279315.1911	535524.67	841269.999	747254.4085	1042198.708	1290319.641	719517.1187	2136567.576	255635.6816	2218183.518	305669.5263	2172668.651	1955042.419	2065042.027	1611374.67	1875637.856	309125.1346	2064196.016	1990223.484	3126887.665	2493654.951	367502.227	117846.7425	1625763.679	210254.9148	1432315.194	418105.5963	4174707.688	1233254.565	421356.7421	356125.4063	263897.8393	339879.6292	310788.4939	280320.7695	186446.5466	327910.2878	1246975.576	158187.3893	2478821.896	1653079.516	668340.4563	179608.6057	1558398.218	2792752.807	281550.9962	325061.9782	552569.3591	10764927.37	358325.3589	776257.4399	1734471.938	7067169.904	1992553.604	2173383.223	1529546.208	1752733.515	3103255.006	55105.35653	2238910.687	1788871.799	2637135.777	8834326.822	2128042.464	1145150.02	2898182.126	3089590.275	258398.4281	3795707.019	1755778.309	1539069.478	8637994.381	2948745.943	1436851.337	824446.9435	1500406.421	2093583.828	1365673.413	4522155.668	1653218.008	2807636.955	823198.5264	3684805.39	591673.4999	437443.6899	2042562.11	1916205.047	2265950.492	129881.0638	383930.1305	328179.8715	333914.4872	316629.958	308712.932	372729.1896	335541.6477	232868.3642	321495.9308	228465.8747	264725.4273	1076581.375	1056654.201	310313.4044	872125.1342	2341611.432	235634.4012	349382.9665	262091.9928	256249.1717	644756.139	688809.2011	738106.3798	1306688.45	3147801.418	794482.6985	860999.5211	2143650.36	2639122.041	336538.2097	316912.6417	376862.0048	2597430.502	1812339.171
CHEBI:32806	C6H6O6	OC(=O)C\C(=C/C(O)=O)C(O)=O	InChI=1S/C6H6O6/c7-4(8)1-3(6(11)12)2-5(9)10/h1H,2H2,(H,7,8)(H,9,10)(H,11,12)/b3-1+	Trans-aconitic acid					0.648												3371679.968	3084555.437	5414682.231	5637507.846	3938659.325	2996078.894	9238476.38	4382262.508	5729793.007	11721153.06	2957053.049	15016341.15	4791031.951	5106796.467	6913842.957	6243189.933	4003631.342	9791139.467	10292765.41	14975829.33	5805038.949	6973150.687	3991172.742	3236555.428	3444589.511	14125994.17	3767546.324	6909388.254	4568520.351	6961850.392	7740511.728	7361025.284	5720355.123	18242562.31	5163644.323	3684057.901	4645879.786	5663777.274	14345016.38	2583568.678	1997067.092	3900810.515	4587310.041	7796163.256	8194580.622	8774175.166	16235845.28	12406355.65	13413564.05	5142451.07	5049684.87	4959885.349	3830153.043	4639250.357	13352835.54	9135402.367	5164248.782	5238279.205	7012642.532	3538238.755	10803281.89	8534410.105	9410770.103	4957071.807	3159963.835	5682247.113	5960284.436	5651438.941	15469945.65	17080371.8	16544382.6	17496717.15	15951782.8	15394037.98	26045441.25	6529880.839	6282248.541	5532517.201	7718926.452	4160591.967	7663628.198	5642998.747	7116742.737	14925628.77	20083613.96	7340761.945	1972033.24	4977006.089	4708640.15	5708565.205	1403352.464	3283690.435	4862459.338	4973183.134	4188084.491	4146632.666	17496922.88	5117262.481	3528687.775	8576837.801	5725075.225	7821247.287	6020020.126	3881960.742	3644253.714	13218704.05	4849096.182	3870613.838	4744912.596	4670067.386	4895238.54	4300151.724	6471933.71	5758876.559	1454054.756	6727736.03	2530331.361	8066328.451	4918731.346	5092520.819	2865695.228	2187152.093	8178927.503	4057308.556	2135958.597	4582080.021	8623565.547	12206081.09	14013895.68	18914441.4	11781579.3	10397775.74	15640607.89	10121651.91	11192853.72	13752499.16	16901851.13	3247882.304	3482797.575	1463088.427	3985774.366	4477281.363	1957769.286	11742589.3	10200064.14	14884482.69	3926568.46	2769848.901	9181750.324	8100444.815	7934948.989	1400585.558	3769768.877	5990043.911	4579431.014	4685267.469	3058612.504	5475478.491	8293029.859	5946893.464	7963024.076
CHEBI:167716	C7H10O7	COC(=O)C(CC(=O)O)(CC(=O)O)O	InChI=1S/C7H10O7/c1-14-6(12)7(13,2-4(8)9)3-5(10)11/h13H,2-3H2,1H3,(H,8,9)(H,10,11)	3-hydroxy-3-(methoxycarbonyl)pentanedioic acid					0.65												601136.34	348694.1088	458480.2225	568074.3666	352921.9246	472795.4408	515553.7614	662373.5193	948582.8284	1079440.167	285143.6462	722731.6653	447478.8675	330658.0391	302858.1568	452351.1159	296160.9453	491361.6203	416153.6887	1331383.734	551157.7562	1500057.945	605646.285	344091.0065	793085.61	1679393.092	472590.4582	444610.3031	476214.6684	644461.8311	612704.7377	331572.0405	601161.1315	2674334.952	331035.0932	322372.735	579901.4587	554993.813	1880466.624	611770.2924	273996.1266	402476.3833	255791.5744	665245.663	613001.0758	2229105.766	1545058.161	4824933.226	1148520.436	397971.0159	474035.5881	734633.832	395650.5484	415643.6639	1499048.643	616610.4924	1012809.871	832611.1955	939436.9792	486841.3798	1575894.268	529289.1076	3631373.123	633332.6689	342773.9959	481144.7806	832172.1382	333843.9391	1610866.535	2014999.784	1993037.597	2287419.721	1901297.172	986959.3722	1014238.812	551558.2344	434958.9778	564201.5923	1123884.81	587097.2493	683726.2702	473400.1542	663146.1301	930336.1628	1499204.912	629174.2012	1864258.593	759632.6251	301854.0794	431002.8148	891565.8907	340776.2257	485029.4708	457013.3745	456023.2366	489638.2669	2426958.4	408261.1218	540978.7423	884245.1668	427827.7958	893237.5979	664833.9409	459149.7734	443627.7498	1834237.878	496312.6688	430656.1481	554168.1712	829673.7959	365633.022	483690.8916	462671.9851	588230.3588	251863.2712	778772.3343	441188.9556	486646.5284	492935.0179	1780624.287	415855.8784	421563.8077	785619.7878	322849.099	372818.3641	509556.1532	2197760.406	1396732.11	516984.6094	773263.4534	954857.5963	1119878.564	1969766.676	668629.9813	671692.4188	3201679.59	1550332.288	874459.2887	464523.5041	1663093.72	791489.2478	478141.354	521061.4473	1040048.704	2988572.517	2475725.532	652592.1013	628428.8027	646959.7927	868170.7549	1164041.354	384319.1665	444300.4265	341903.6637	508157.9101	301102.1216	1136209.026	252065.7617	737395.9529	323393.9884	527035.5264
CHEBI:27605	C6H12O6	OC[C@@H](O)[C@@H](O)[C@@H](O)C(=O)CO	InChI=1S/C6H12O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3,5-9,11-12H,1-2H2/t3-,5-,6+/m1/s1	D-psicose					0.655												495613.2233	394552.8589	396687.6749	450628.9674	545860.5725	351611.3435	286197.7982	427000.7554	464871.7043	361058.8702	319396.9765	288946.1237	321681.8015	417569.6146	429189.5532	378486.9158	324200.8826	327110.8711	295889.7679	478157.4159	366632.0281	799880.033	1303418.049	315447.2866	2455582.598	310847.1914	347609.2081	424264.5937	393042.6567	516396.9659	338510.8449	320834.6013	1655422.743	584936.2245	406771.4719	313362.2393	464904.8763	306299.2653	1154714.811	488801.9615	250519.9559	466100.737	419106.1614	501921.3386	272985.9143	3246597.252	407249.7241	703087.2408	258185.0196	632570.1833	407668.3782	415852.3712	569284.6556	495593.2976	690361.1828	567809.6593	640103.3852	681079.887	296953.8593	346624.168	1765761.114	278746.296	1443314.28	367482.7091	221425.0431	490074.6356	479264.4685	487101.1344	557865.3876	454830.0764	600184.9786	576027.9314	443743.9659	532446.3684	456432.0894	241767.482	437815.0536	289898.1282	465006.3347	438118.8167	359430.522	352958.8388	287079.7821	599292.1065	419103.1882	302279.2021	1652406.988	321756.0705	292630.8783	334840.5814	1524472.589	347373.514	329008.7608	434157.2826	453652.5575	323380.195	2735065.62	606760.9573	434232.358	346750.77	264129.3147	1119476.461	230984.6042	379141.9469	594135.6456	596366.7002	494981.7777	357858.578	555194.7246	728160.112	576847.3126	376210.5064	387148.4721	329480.6967	257470.8338	335264.8476	333448.8514	349478.4964	285983.7184	1009765.247	435039.8096	420721.2946	366159.6509	302368.8113	366993.0659	353004.9743	1560277.006	3650010.221	3744560.231	344838.1554	323343.8837	285364.1556	4476276.735	192547.2281	597863.1082	279572.6235	202768.1351	2660601.673	289732.0075	8084261.055	1321523.121	386081.9776	366892.9717	322719.7467	315539.0798	342519.4147	420918.222	456465.5107	271243.9465	220807.1003	366905.5027	277338.4258	383079.4227	239904.3666	355420.8218	506216.5437	1377657.712	300377.4386	454150.6411	234577.9813	328747.4968
CHEBI:26806	C4H5O4			Succinate					0.657												6065082.05	4452791.345	5957331.914	4489919.009	3944335.588	4120827.123	7073831	7335386.03	5990183.009	4300841.73	6391528.088	5469935.86	3604988.511	6970177.682	5352774.212	2725957.812	11236390.35	8258239.286	3517930.113	6595909.047	6743803.331	9072553.52	9749336.953	10204798.21	1042546.148	10342924.46	5995253.795	7445952.838	7548504.285	6395361.693	7715853.373	4467878.719	5037865.526	7266107.597	6868522.496	7396878.787	4470367.124	4806067.77	10887625.67	9331269.612	3027333.137	7984440.414	6491153.538	5567696.44	6633199.477	11531415.47	7678944.456	11948352.95	7294500.235	8339494.611	6736592.419	8331412.475	6716076.642	7379658.767	10682969.32	9431632.842	6527092.506	10676704.16	10293259.13	4100771.764	3094992.672	4137796.768	11797310.36	11691642.43	2819098.962	8078298.604	5373891.231	7640912.517	12411824.16	7384880.274	4554078.053	6827782.104	8565128.47	5093703.728	18662462.6	5004862.745	3082407.559	4294465.823	9139250.676	5857993.189	12343918.84	2439328.336	6624371.836	7089231.42	5219510.021	4016388.803	7380496.695	4494826.087	5212200.184	6913128.943	9608254.894	6011005.294	6927753.038	10117674.02	7614525.299	8059661.449	2871730.505	6745576.522	10865861.6	11931011.7	1034416.326	4282676.091	4385062.197	11381130.65	5406587.399	5119361.173	9902837.421	6349130.999	7339559.763	9165216.352	6034027.283	4789400.137	4920342.626	4623071.833	5011506.99	5004482.019	6426177.576	7717170.191	4716521.008	4631984.336	4682470.195	6631383.094	5791973.578	5171265.881	6851199.988	5406244.007	5261056.893	5964290.945	3836435.941	3559893.245	7542415.424	3638712.605	6985177.859	4471917.648	5819338.21	6319327.191	6628553.559	9584367.639	4618469.176	6305158.166	4121363.724	5061220.662	6651101.956	5651799.401	2849767.26	6593843.118	6401258.719	5396229.314	5220821.449	5043620.373	11599185.63	5958270.993	7514324.733	5945125.916	4916563.223	7567751.26	5009396.108	3623632.22	6820518.243	7361580.822	5511820.281
CHEBI:32796	C5H8O5	O[C@H](CCC(O)=O)C(O)=O	InChI=1S/C5H8O5/c6-3(5(9)10)1-2-4(7)8/h3,6H,1-2H2,(H,7,8)(H,9,10)/t3-/m1/s1	D-alpha-Hydroxyglutaric acid					0.657												8619392.921	8777159.683	12024511.49	8538485.317	13416433.42	9142001.025	8958989.442	13081660.6	10584610.71	15322114.75	8490702.196	15733193.8	9708537.291	11383116.57	13573754.24	13579724.99	12703947.13	9623901.107	14456024.77	16028778.68	11385969.27	17147874.72	15144451.72	10307432.38	15674798.71	16485804.49	11190057.41	10064095.27	12590458.88	10082016.23	13359297.08	9392828.834	22766490.83	20719068.32	14319258.44	9220217.928	10256794.4	6818825.451	22108912.79	13058013.17	5433784.938	12700512.82	10733088.56	10967636.15	12979337.91	26815933.25	23530786.61	18837448.3	14093614.81	10487208.34	10495379.9	13191820.72	10587275.39	11447353.2	17262747.48	11895697.47	12466638.17	14272292.71	15106610.21	11534854.24	20684181.53	9853820.041	15555584.79	12013383.14	10159311.83	10410678.55	11869093.79	10221905.74	17392777.54	17503932.93	22876515.22	18631078.57	24385912.26	24746976.72	29464768.61	8338154.481	9563207.915	6455482.811	10731140.5	12020330.91	10293438.9	8944596.24	10199939.64	22967530.55	18100598.78	8056237.658	21268322.97	8595954.239	44203998.32	8052661.962	23452287.54	7924452.577	12772545.92	9568752.346	9827130.989	12641154.32	29071206.18	8459157.919	12109117.29	13998052.44	7443082.931	19029492.84	9068913.143	11638099.5	10709692.12	13972156.17	12649385.62	9828369.006	18478856.36	12225387.14	16905617.13	9903923.001	13078841.19	9684686.653	6519136.631	7497091.643	8171859.831	9770639.462	8801076.187	15374396.46	7074279.131	8421274.736	11811017.25	9236416.775	9251970.632	8200815.887	15934948.87	9432326.595	13220248.97	9461995.394	9040816.186	12812456.29	16944266.78	11221839.71	11964807.33	16869111.15	17478837.06	29060930.63	10124376.51	35455676.39	13137412.55	12851674.64	12519792.74	15917075.48	20283575.51	21585153.46	9151898.996	11850783	11577971.76	11880232.28	12368237.22	10186131.59	11970421.88	5881053.701	9767748.014	11270208.69	14861991.57	7904134.569	15950152.86	10542823.57	11442499.96
CHEBI:32816	C3H4O3	CC(=O)C(O)=O	InChI=1S/C3H4O3/c1-2(4)3(5)6/h1H3,(H,5,6)	Pyruvic acid					0.657												31532613.97	19553308.46	26355862.01	21480042.39	36901987.41	21699756.3	17718943.91	33745059.79	17883182.9	26365543.52	18161213.71	24118614.48	16507256.83	20673639.69	25734975.85	26675396.69	22724219.07	16343722.74	20652144	30062082.48	43259929.12	22331022.53	14787724.58	30379357.01	5679383.815	17799949.92	19425983.34	26307541.7	21489878.25	21379727.52	28003816.21	19679296.59	23542356.89	30868224.72	40558170.51	12429055.25	33255337.13	14155023.26	42636344.5	24500731.21	13681399.64	14792309.24	16091363.52	19629395.71	28196659.8	35928974.73	95747327.4	30093964.84	24667335.47	31092406.08	31118100.57	31276432.41	37396192.73	28366468.76	23659999.36	32664203.25	31403692.34	28500235.2	35144154.39	23963295.65	6940146.428	15181746.72	28258284.31	42396513.95	19441526	30653049.07	15911363.15	18830760.06	19034434.41	25317666.59	24091132.52	31874482.45	37440936.98	64609439.15	32354022.63	19967207.47	13992923.9	11199625.86	28649386.14	17560197.93	19272428.22	21888339.22	15438334.98	44910861.98	29226428.89	10870261.85	11677043.7	23903081.42	25923933.88	31503878.52	13424926.08	20975659.29	30685758.54	44002496.07	45100007.89	21357577.75	11876280.04	23421740.71	39933698.9	35345231.54	1184724.821	23291362.98	30071328.71	33909326.04	34450935.85	28775573.27	44640506.59	38102281.58	26768407.74	13673682.38	42463952.67	24931837.21	8052639.2	13384737.27	11054539.89	15468255.92	21399063.99	18592186.62	19231714.87	21316801.56	18698648.09	17842545.01	15682353.66	19523174.94	15166768.77	13001679.93	18793607.64	18157329.74	11450490.91	23963202.63	16054268.06	22408326.3	30010301.02	13026413.35	27852395.94	19534493.78	24161014.75	19800040.7	31344116.52	17265664	17280508.11	24373428.45	24383790.18	18915988.57	28687629.51	27109152.79	26166257.26	18567457.88	21192390.27	15478605.17	16944726.12	28034585.45	32813765.57	9892416.912	22065638.85	23933432.17	16082285.77	10524836.74	17463935.71	16714173.78	19678215.5
