name	mz	rt	molecular_formula	molecular_name	chebi_id	exact_mass	ion_type	charge	monoisotopic_mass	model_id	chemspider	cas_registry_number	hmdb	kegg	lipidmaps	metacyc	inchi	ppm_error
M100T118	100.050866121576	117.501770019531																
M100T14_1	100.076014131696	13.8829717636108																
M100T14_2	100.087136988601	13.761643409729																
M100T14_3	100.112385740336	13.896369934082																
M100T60	100.076039159772	59.9006004333496																
M101T117	100.916656563774	117.486885070801																
M101T14_1	101.07122211542	13.8542227745056																
M101T14_2	101.107535044836	13.535888671875																
M102T14_1	102.013367547783	13.8876581192017	C5H6N4O5	5-hydroxy-2-oxo-4-ureido-2,5-dihydro-1H-imidazole-5-carboxylic acid	31132	102.01	[M+2H]2+	0.0	202.03382	MAM10018c	No match	No match	No match	C12248	No match	No match	InChI=1S/C5H6N4O5/c6-3(12)7-1-5(14,2(10)11)9-4(13)8-1/h14H,(H,10,11)(H4,6,7,8,9,12,13)	-3.36
M102T14_2	102.091637690875	13.8805437088013																
M102T74	102.066347297841	74.3300552368164																
M103T14	103.086839207159	13.7534003257751																
M103T149	103.054546678477	148.803298950195																
M104T141	104.107209623509	141.441329956055																
M104T142_1	104.07912865208	141.665512084961																
M104T142_2	104.13524622153	141.990585327148																
M104T157_1	104.107261489213	157.478982																
M104T157_2	104.135206481401	157.087326049805																
M104T158	104.07950583814	158.281585693359																
M104T170	104.08220378014	170.055320739746																
M104T185	104.053138273737	185.322662353516																
M104T213	104.070956406411	212.878135681152	C4H9NO2	gamma-aminobutyric acid	16865	104.07	[M+H]+	0.0	103.06333	MAM00970c	No match	56-12-2	HMDB0000112	C00334	LMFA01100039	4-AMINO-BUTYRATE	InChI=1S/C4H9NO2/c5-3-1-2-4(6)7/h1-3,5H2,(H,6,7)	3.62
M104T213	104.070956406411	212.878135681152	C4H9NO2	N,N-dimethylglycine	17724	104.07	[M+H]+	0.0	103.06333	MAM01708c	No match	1118-68-9	HMDB0000092	C01026	No match	DIMETHYL-GLYCINE	InChI=1S/C4H9NO2/c1-5(2)3-4(6)7/h3H2,1-2H3,(H,6,7)	3.62
M104T213	104.070956406411	212.878135681152	C4H9NO2	(S)-3-aminoisobutyric acid	33094	104.07	[M+H]+	0.0	103.06333	MAM02325c	No match	No match	No match	C03284	No match	No match	InChI=1S/C4H9NO2/c1-3(2-5)4(6)7/h3H,2,5H2,1H3,(H,6,7)/t3-/m0/s1	3.62
M104T213	104.070956406411	212.878135681152	C4H9NO2	L-alpha-aminobutyric acid	35619	104.07	[M+H]+	0.0	103.06333	MAM00169c	No match	1492-24-6	HMDB0000452	C02356	LMFA01100034	CPD0-1942	InChI=1S/C4H9NO2/c1-2-3(5)4(6)7/h3H,2,5H2,1H3,(H,6,7)/t3-/m0/s1	3.62
M104T213	104.070956406411	212.878135681152	C4H9NO2	(R)-3-aminoisobutyric acid	16320	104.07	[M+H]+	0.0	103.06333	MAM01633c	No match	No match	No match	C01205	No match	No match	InChI=1S/C4H9NO2/c1-3(2-5)4(6)7/h3H,2,5H2,1H3,(H,6,7)/t3-/m1/s1	3.62
M104T47	104.107263493249	46.8342800140381																
M104T60	103.955631681455	60.3003768920898																
M104T73_1	104.079281719936	73.1436653137207																
M104T73_2	104.135288235687	72.97216796875																
M104T75	104.107283490779	74.5263977050781																
M104T994	103.955762784574	993.866363525391																
M105T142	105.110579560516	141.793151855469																
M105T157	105.110640093737	157.143692016602																
M105T234	105.04260352638	233.568252563477																
M105T75	105.110639602135	74.5460510253906																
M106T142	106.110705834756	141.854682922363																
M106T158	106.111278889344	158.148620605469																
M106T162	106.086528665292	162.305084228516	C2H4O	acetaldehyde	15343	106.09	[2M+NH4]+	0.0	44.02621	MAM01249c	No match	75-07-0	HMDB0000990	C00084	No match	No match	InChI=1S/C2H4O/c1-2-3/h2H,1H3	3.38
M106T162	106.086528665292	162.305084228516	C4H8O2	butyric acid	30772	106.09	[M+NH4]+	0.0	88.05243	MAM01410c	No match	107-92-6	HMDB0000039	C00246	LMFA01010004	BUTYRIC_ACID	InChI=1S/C4H8O2/c1-2-3-4(5)6/h2-3H2,1H3,(H,5,6)	3.29
M106T233	106.045825370781	233.244194030762																
M106T509	106.050170495894	508.510803222656	C3H4O3	pyruvic acid	32816	106.05	[M+NH4]+	0.0	88.01604	MAM02819c	No match	127-17-3	HMDB0000243	C00022	LMFA01060077	PYRUVATE	InChI=1S/C3H4O3/c1-2(4)3(5)6/h1H3,(H,5,6)	3.59
M106T509	106.050170495894	508.510803222656	C3H4O3	3-oxopropanoic acid	17960	106.05	[M+NH4]+	0.0	88.01604	MAM00900c	No match	926-61-4	No match	C00222	No match	No match	InChI=1S/C3H4O3/c4-2-1-3(5)6/h2H,1H2,(H,5,6)	3.59
M106T509	106.050170495894	508.510803222656	C3H7NO3	L-serine	17115	106.05	[M+H]+	0.0	105.04259	MAM02896c	No match	56-45-1	HMDB0000187	C00065	No match	SER	InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)/t2-/m0/s1	3.12
M106T509	106.050170495894	508.510803222656	C3H7NO3	D-serine	16523	106.05	[M+H]+	0.0	105.04259	MAM01744c	No match	312-84-5	HMDB0003406	C00740	No match	D-SERINE	InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)/t2-/m1/s1	3.12
M107T14	107.060561368211	13.8516149520874																
M107T186	107.065670539616	186.301193237305																
M107T233	106.950697732418	233.496810913086																
M107T376	107.065773903975	376.211578369141																
M108T14	108.055854594559	13.8539342880249																
M109T14	109.076224787319	13.8451924324036																
M109T186	109.063534560935	186.233306884766																
M110T14_1	110.071466102018	13.8505973815918																
M110T14_2	110.096283107152	13.7681269645691																
M110T508	110.057163712788	508.23193359375	C4H9NO	4-aminobutanal	17769	110.06	[M+Na]+	0.0	87.06841	MAM00969c	No match	No match	No match	C00555	No match	No match	InChI=1S/C4H9NO/c5-3-1-2-4-6/h4H,1-3,5H2	-4.51
M110T764	110.071599899654	763.952941894531																
M111T149	111.081278379874	148.909675598145																
M111T14_1	111.055510129522	13.8516149520874	C5H6N2O	imidazole-4-acetaldehyde	27398	111.06	[M+H]+	0.0	110.04801	MAM02165c	No match	645-14-7	No match	C05130	No match	No match	InChI=1S/C5H6N2O/c8-2-1-5-3-6-4-7-5/h2-4H,1H2,(H,6,7)	2.25
M111T14_2	111.091795711978	13.7535715103149	C6H7N	aniline	17296	111.09	[M+NH4]+	0.0	93.05785	MAM01341c	No match	62-53-3	HMDB0003012	C00292	No match	ANILINE	InChI=1S/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2	1.76
M111T331	111.147980611984	330.724426269531																
M111T38	111.007930541652	37.9251079559326																
M111T53	111.091928588711	52.7183208465576	C6H7N	aniline	17296	111.09	[M+NH4]+	0.0	93.05785	MAM01341c	No match	62-53-3	HMDB0003012	C00292	No match	ANILINE	InChI=1S/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2	2.96
M112T14_1	112.087094559733	13.8462100028992	C5H9N3	histamine	18295	112.09	[M+H]+	0.0	111.07965	MAM02124c	No match	51-45-6	HMDB0000870	C00388	No match	HISTAMINE	InChI=1S/C5H9N3/c6-2-1-5-3-7-4-8-5/h3-4H,1-2,6H2,(H,7,8)	1.74
M112T14_2	112.112200710627	14.0059266090393																
M113T118	112.895981295642	117.854537963867																
M113T119	112.864387545731	119.294326782227																
M113T14_1	112.895908543894	14.2794780731201																
M113T14_2	113.071092231076	13.8495798110962																
M113T14_3	113.090428626438	13.776086807251																
M113T14_4	113.107475362082	13.88205909729																
M113T216	112.895891997896	216.106986999512																
M113T39	112.895930069753	39.0146102905273																
M113T57	112.895887762847	57.1781616210938																
M113T999	112.895904837653	998.990417480469																
M114T100_1	113.970100672924	99.7602157592773																
M114T100_2	114.066327794706	99.5050048828125	C4H7N3O	creatinine	16737	114.07	[M+H]+	0.0	113.05891	MAM01621c	No match	60-27-5	HMDB0000562	C00791	No match	CREATININE	InChI=1S/C4H7N3O/c1-7-2-3(8)6-4(7)5/h2H2,1H3,(H2,5,6,8)	1.47
M114T100_3	114.162386779864	99.7469062805176																
M114T118	114.066462895167	117.86114053418	C4H7N3O	creatinine	16737	114.07	[M+H]+	0.0	113.05891	MAM01621c	No match	60-27-5	HMDB0000562	C00791	No match	CREATININE	InChI=1S/C4H7N3O/c1-7-2-3(8)6-4(7)5/h2H2,1H3,(H2,5,6,8)	2.66
M114T149	114.072551978653	149.147048950195																
M114T14_1	114.091543318451	13.9365930557251																
M114T14_2	114.102679963709	13.6472721099854																
M114T14_3	114.127825453307	13.88205909729																
M114T38	114.073439034708	38.1551361083984																
M114T99_1	114.034227164241	99.443790435791																
M114T99_2	114.053473690912	98.9116744995117	C2H7N	dimethylamine	17170	114.05	[M+H+NaFormate]+	0.0	45.05785	MAM01707c	No match	124-40-3	HMDB0000087	C00543	No match	DIMETHYLAMINE	InChI=1S/C2H7N/c1-3-2/h3H,1-2H3	3.71
M114T99_3	114.079011900214	99.0608291625977																
M114T99_4	114.098041879538	99.4795684814453																
M115T100	115.069651913909	99.5063972473145	C12H24O	dodecanal	27836	115.07	[M+Na+Na]2+	0.0	184.18272	MAM20048c	No match	112-54-9	HMDB0033933	C02278	LMFA06000071	CPD-7880	InChI=1S/C12H24O/c1-2-3-4-5-6-7-8-9-10-11-12-13/h12H,2-11H2,1H3	-4.42
M115T118	114.893206875303	117.914730072021																
M115T14_1	115.086726455869	13.8529052734375																
M115T14_2	115.123072310222	13.7449789047241																
M115T808	115.086788170096	807.543029785156																
M116T14_1	116.082023472772	14.1702980995178																
M116T14_2	116.107136394197	13.8516149520874																
M116T223_1	116.03776267451	222.959259033203																
M116T223_2	116.070803317615	223.1884765625	C5H9NO2	L-proline	17203	116.07	[M+H]+	0.0	115.06333	MAM02770c	No match	147-85-3	HMDB0000162	C00148	No match	PRO	InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1	1.92
M116T223_2	116.070803317615	223.1884765625	C5H9NO2	3-acetamidopropanal	30322	116.07	[M+H]+	0.0	115.06333	MAM01250c	No match	No match	No match	C18170	No match	No match	InChI=1S/C5H9NO2/c1-5(8)6-3-2-4-7/h4H,2-3H2,1H3,(H,6,8)	1.92
M116T223_2	116.070803317615	223.1884765625	C5H9NO2	D-proline	16313	116.07	[M+H]+	0.0	115.06333	MAM01742c	No match	344-25-2	HMDB0003411	C00763	No match	D-PROLINE	InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m1/s1	1.92
M116T223_3	116.083048375997	222.584457397461																
M116T41	116.053082988475	40.8007354736328																
M116T741	116.070801817355	740.970306396484	C5H9NO2	L-proline	17203	116.07	[M+H]+	0.0	115.06333	MAM02770c	No match	147-85-3	HMDB0000162	C00148	No match	PRO	InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1	1.91
M116T741	116.070801817355	740.970306396484	C5H9NO2	3-acetamidopropanal	30322	116.07	[M+H]+	0.0	115.06333	MAM01250c	No match	No match	No match	C18170	No match	No match	InChI=1S/C5H9NO2/c1-5(8)6-3-2-4-7/h4H,2-3H2,1H3,(H,6,8)	1.91
M116T741	116.070801817355	740.970306396484	C5H9NO2	D-proline	16313	116.07	[M+H]+	0.0	115.06333	MAM01742c	No match	344-25-2	HMDB0003411	C00763	No match	D-PROLINE	InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m1/s1	1.91
M116T806	116.070840997213	806.38037109375	C5H9NO2	L-proline	17203	116.07	[M+H]+	0.0	115.06333	MAM02770c	No match	147-85-3	HMDB0000162	C00148	No match	PRO	InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1	2.25
M116T806	116.070840997213	806.38037109375	C5H9NO2	3-acetamidopropanal	30322	116.07	[M+H]+	0.0	115.06333	MAM01250c	No match	No match	No match	C18170	No match	No match	InChI=1S/C5H9NO2/c1-5(8)6-3-2-4-7/h4H,2-3H2,1H3,(H,6,8)	2.25
M116T806	116.070840997213	806.38037109375	C5H9NO2	D-proline	16313	116.07	[M+H]+	0.0	115.06333	MAM01742c	No match	344-25-2	HMDB0003411	C00763	No match	D-PROLINE	InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m1/s1	2.25
M116T94	116.107236351666	93.5289192199707																
M116T99	116.070384682745	99.3329200744629	C5H9NO2	L-proline	17203	116.07	[M+H]+	0.0	115.06333	MAM02770c	No match	147-85-3	HMDB0000162	C00148	No match	PRO	InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1	-1.68
M116T99	116.070384682745	99.3329200744629	C5H9NO2	3-acetamidopropanal	30322	116.07	[M+H]+	0.0	115.06333	MAM01250c	No match	No match	No match	C18170	No match	No match	InChI=1S/C5H9NO2/c1-5(8)6-3-2-4-7/h4H,2-3H2,1H3,(H,6,8)	-1.68
M116T99	116.070384682745	99.3329200744629	C5H9NO2	D-proline	16313	116.07	[M+H]+	0.0	115.06333	MAM01742c	No match	344-25-2	HMDB0003411	C00763	No match	D-PROLINE	InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m1/s1	-1.68
M117T118	116.891144183103	117.873523712158																
M117T14_1	117.102435233397	13.8824915885925																
M117T14_2	117.138728306477	13.8919172286987																
M117T223	117.074137353948	223.224029541016																
M118T177_1	117.984626085255	176.64917755127																
M118T177_2	118.052474693813	176.848556518555																
M118T177_3	118.072972984692	176.805801391602																
M118T177_4	118.086330894871	176.770797729492	C5H11NO2	glycine betaine	17750	118.09	[M+H]+	0.0	117.07898	MAM01393c	No match	107-43-7	HMDB0000043	C00719	No match	BETAINE	InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3	0.85
M118T177_4	118.086330894871	176.770797729492	C5H11NO2	L-valine	16414	118.09	[M+H]+	0.0	117.07898	MAM03135c	No match	72-18-4	HMDB0000883	C00183	No match	VAL	InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)/t4-/m0/s1	0.85
M118T177_5	118.098954521913	176.973876953125																
M118T214	118.086388923331	214.009384155273	C5H11NO2	glycine betaine	17750	118.09	[M+H]+	0.0	117.07898	MAM01393c	No match	107-43-7	HMDB0000043	C00719	No match	BETAINE	InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3	1.35
M118T214	118.086388923331	214.009384155273	C5H11NO2	L-valine	16414	118.09	[M+H]+	0.0	117.07898	MAM03135c	No match	72-18-4	HMDB0000883	C00183	No match	VAL	InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)/t4-/m0/s1	1.35
M118T223	118.074836563575	222.759254455566																
M118T725	118.079796953133	724.628448486328																
M118T764	118.079500199026	764.445007324219																
M119T14	119.060410301299	13.8451924324036																
M119T177	119.089673489561	176.770797729492																
M119T214	119.089673177052	214.188995361328																
M119T215	119.016309584836	214.7744140625																
M120T14	120.055714474543	13.8542227745056																
