,study_id,analysis_id,analysis_summary,analysis_type,chromatography system,column_name,chromatography_type,ms_instrument_name,ms_instrument_type,ms_type,ion_mode,nmr_instrument_type,nmr_experiment_type,spectrometer_frequency,nmr_solvent,units
ST003436_0,ST003436,AN005645,HILIC NEGATIVE ION MODE,MS,Shimadzu 20AD,"Merck SeQuant ZIC-HILIC (150 x 2.1mm,5um)",HILIC,ABI Sciex 5500 QTrap,Triple quadrupole,ESI,NEGATIVE,,,,,Counts per second (cps)
ST003436_1,ST003436,AN005646,HILIC POSITIVE ION MODE,MS,Shimadzu 20AD,"Merck SeQuant ZIC-HILIC (150 x 2.1mm,5um)",HILIC,ABI Sciex 5500 QTrap,Triple quadrupole,ESI,POSITIVE,,,,,Counts per second (cps)
ST001983,ST001983,AN003234,UPLC UNSPECIFIED ION MODE,MS,Waters ACQUITY ultra-performance liquid chromatography (UPLC),"Waters UPLC BEH C18 (100 x 2.1mm,1.7um)",Reversed phase,Thermo Q Exactive HF hybrid Orbitrap,Orbitrap,ESI,UNSPECIFIED,,,,,ratio
ST002955,ST002955,AN004852,HILIC UNSPECIFIED ION MODE,MS,Thermo Vanquish Horizon UHPLC,"SeQuant ZIC- pHILIC (150 x 2.1mm,5um)",HILIC,Thermo Q Exactive HF-X Orbitrap,Orbitrap,ESI,UNSPECIFIED,,,,,Peak Area
ST001151,ST001151,AN001899,Reversed phase NEGATIVE ION MODE,MS,Waters Acquity,"Waters Acquity CSH C18 (100 x 2.1mm,1.7um)",Reversed phase,Agilent 6550 QTOF,QTOF,ESI,NEGATIVE,,,,,ug/ml
ST000880_0,ST000880,AN001433,HILIC POSITIVE ION MODE,MS,Shimadzu Nexera X2,Waters Atlantis HILIC (150 x 2mm),HILIC,Thermo Q Exactive Plus Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Peak area
ST000880_1,ST000880,AN001434,HILIC NEGATIVE ION MODE,MS,Waters Acquity,Phenomenex Luna NH2 (150 x 2.0mm),HILIC,ABI Sciex 5500 QTrap,Triple quadrupole,ESI,NEGATIVE,,,,,Peak area
ST000880_2,ST000880,AN001435,Reversed phase NEGATIVE ION MODE,MS,Shimadzu Nexera X2,"Waters Acquity BEH C18 (150 x 2.1mm,1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,Peak area
ST000880_3,ST000880,AN001436,Reversed phase POSITIVE ION MODE,MS,Shimadzu Nexera X2,"Waters Acquity BEH C8 (100 x 2.1mm,1.7um)",Reversed phase,Thermo Q Exactive Plus Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Peak area
ST002119_0,ST002119,AN003467,HILIC POSITIVE ION MODE,MS,Thermo Dionex Ultimate 3000,"Waters Xbridge amide (100 x 2.1mm,3.5um)",HILIC,Thermo Q Exactive Plus Orbitrap,Orbitrap,ESI,POSITIVE,,,,,ion counts
ST002119_1,ST002119,AN003468,HILIC NEGATIVE ION MODE,MS,Thermo Dionex Ultimate 3000,"Waters Xbridge amide (100 x 2.1mm,3.5um)",HILIC,Thermo Q Exactive Plus Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,ion counts
ST002119_2,ST002119,AN003469,HILIC POSITIVE ION MODE,MS,Thermo Dionex Ultimate 3000,"Waters Xbridge amide (100 x 2.1mm,3.5um)",HILIC,Thermo Q Exactive Plus Orbitrap,Orbitrap,ESI,POSITIVE,,,,,ion counts
ST002119_3,ST002119,AN003470,HILIC NEGATIVE ION MODE,MS,Thermo Dionex Ultimate 3000,"Waters Xbridge amide (100 x 2.1mm,3.5um)",HILIC,Thermo Q Exactive Plus Orbitrap,Orbitrap,ESI,NEGATIVE,,,,,ion counts
ST003309,ST003309,AN005421,GC POSITIVE ION MODE,MS,Shimadzu GCMS-QP2010 ultra,Shimadzu SH-Rxi-5Sil MS (30m x 0.25mm x 0.25um),GC,Shimadzu QP2010 Ultra,GC-MS,EI,POSITIVE,,,,,Peak area
ST000121,ST000121,AN000203,ESI negative ion mode,MS,Agilent 1200,"Phenomenex Luna NH2 (150 x 2.1mm,3um)",HILIC,Agilent 6220 TOF,TOF,ESI,NEGATIVE,,,,,Peak area
ST003199,ST003199,AN005249,HILIC UNSPECIFIED ION MODE,MS,Thermo Vanquish,"HILICON iHILIC-(P) Classic (150 x 2.1 mm, 5 um)",HILIC,Thermo Scientific IQ-X tribrid,Orbitrap,ESI,UNSPECIFIED,,,,,A.U.
ST002225,ST002225,AN003634,HILIC UNSPECIFIED ION MODE,MS,Thermo Dionex Ultimate 3000,SeQuant ZIC-pHILIC,HILIC,Thermo Q Exactive Orbitrap,Orbitrap,ESI,UNSPECIFIED,,,,,peak area
ST001359,ST001359,AN002263,Reversed phase POSITIVE ION MODE,MS,Ultimate 3000,"Waters Acquity CSH C18 (100 x 2.1mm,1.7um)",Reversed phase,Thermo Q Exactive Orbitrap,Orbitrap,ESI,POSITIVE,,,,,Normalised peak area
